Experiment name,cough_topview_0dot03percent_0dot5bar
Start time (UTC),2025-07-04 12:27:10.420605+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.78
Relative humidity (%),44.81
SprayTec lift height (mm),nan

Elapsed time (s),Pressure (bar),Flow rate (L/s)
0.0,0.46,0.0
0.014098405838012695,0.46,0.0
0.030591487884521484,0.46,0.01
0.0463104248046875,0.46,0.059666666666666666
0.06181478500366211,0.46,0.14166666666666666
0.0788125991821289,0.46,0.7163333333333333
0.09395194053649902,0.45,1.238
0.11045122146606445,0.44,1.7316666666666667
0.12556982040405273,0.43,2.106333333333333
0.14187836647033691,0.43,2.3466666666666667
0.15738534927368164,0.42,2.264
0.1737663745880127,0.41,2.0193333333333334
0.18951892852783203,0.41,1.776
0.2061161994934082,0.41,1.5266666666666666
0.2211904525756836,0.4,1.3259999999999998
0.23844170570373535,0.4,1.1153333333333333
0.2542603015899658,0.4,0.9543333333333333
0.2699930667877197,0.4,0.829
0.2873666286468506,0.4,0.7086666666666667
0.3022434711456299,0.4,0.606
0.3172485828399658,0.4,0.5256666666666666
0.3340749740600586,0.4,0.45199999999999996
0.3493962287902832,0.39,0.39199999999999996
0.36676597595214844,0.39,0.33199999999999996
0.38176441192626953,0.39,0.2886666666666667
0.39842700958251953,0.39,0.24866666666666665
0.4141860008239746,0.39,0.218
0.4302384853363037,0.39,0.18766666666666665
0.4451472759246826,0.39,0.163
0.46254897117614746,0.39,0.13799999999999998
0.4784066677093506,0.39,0.11933333333333333
0.4930849075317383,0.39,0.10266666666666667
0.5110495090484619,0.39,0.09
0.5266354084014893,0.39,0.07866666666666666
0.5422818660736084,0.39,0.06833333333333333
0.5578501224517822,0.39,0.06
0.5730340480804443,0.39,0.05366666666666667
0.589846134185791,0.39,0.04466666666666667
0.6060426235198975,0.39,0.03833333333333333
0.6230173110961914,0.39,0.03333333333333333
0.6377542018890381,0.39,0.028
0.6545121669769287,0.39,0.022666666666666665
0.6701035499572754,0.39,0.02
0.6858878135681152,0.39,0.016999999999999998
0.7025611400604248,0.39,0.015666666666666666
0.7177731990814209,0.39,0.015
0.7346487045288086,0.38,0.01
0.7498612403869629,0.38,0.007333333333333333
0.7662761211395264,0.39,0.008
0.7826762199401855,0.39,0.006333333333333333
0.7978181838989258,0.38,0.004333333333333333
0.8145456314086914,0.38,0.003
0.8306798934936523,0.38,0.002333333333333333
0.8450531959533691,0.38,0.003333333333333333
0.8624951839447021,0.38,0.002333333333333333
0.8779785633087158,0.38,0.002
0.894150972366333,0.38,0.0016666666666666666
0.9099154472351074,0.38,0.001
0.9265656471252441,0.38,0.0006666666666666666
0.9432437419891357,0.38,0.0
0.9585144519805908,0.38,0.0
0.9746026992797852,0.38,0.0
0.9904448986053467,0.38,0.0
1.0066421031951904,0.38,0.0
1.021104097366333,0.38,0.0
1.0378005504608154,0.38,0.0
1.0532565116882324,0.39,0.0
1.0708110332489014,0.38,0.0
1.085747241973877,0.38,0.0
1.102285623550415,0.38,0.0
1.1173112392425537,0.39,0.0
