Experiment name,PEO0dot25_1dot5bar_1dot5ml_1
Start time (UTC),2025-08-01 15:34:25.972741+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),22.30
Relative humidity (%),64.00
SprayTec lift height (mm),346.1

Elapsed time (s),Pressure (bar),Flow rate (L/s)
0.000507354736328125,1.5,0.0
0.008615732192993164,1.5,0.0
0.02678656578063965,1.5,0.009666666666666667
0.0415194034576416,1.5,0.08366666666666667
0.0566706657409668,1.49,0.349
0.07320189476013184,1.49,1.6216666666666666
0.08884954452514648,1.48,2.6853333333333333
0.10460758209228516,1.47,3.6999999999999997
0.12073969841003418,1.46,4.474666666666667
0.13697433471679688,1.46,5.028
0.15231037139892578,1.46,4.897666666666667
0.1688230037689209,1.45,4.385666666666666
0.1847538948059082,1.44,3.8023333333333333
0.20129704475402832,1.44,3.2623333333333333
0.218489408493042,1.43,2.791
0.23359441757202148,1.44,2.4226666666666667
0.24992060661315918,1.44,2.0683333333333334
0.2645080089569092,1.44,1.7953333333333332
0.2813701629638672,1.43,1.536
0.29689931869506836,1.44,1.312
0.3128504753112793,1.43,1.1406666666666667
0.3289022445678711,1.43,0.9766666666666667
0.34543919563293457,1.43,0.8356666666666667
0.36165809631347656,1.43,0.7143333333333333
0.37644076347351074,1.43,0.62
0.3931095600128174,1.43,0.5333333333333333
0.40956783294677734,1.43,0.45866666666666667
0.42551398277282715,1.43,0.3993333333333333
0.44054555892944336,1.43,0.3473333333333333
0.45677757263183594,1.44,0.29733333333333334
0.47289323806762695,1.44,0.25566666666666665
0.488724946975708,1.45,0.22266666666666665
0.505974531173706,1.45,0.18933333333333333
0.5210790634155273,1.45,0.165
0.5363564491271973,1.45,0.147
0.5544025897979736,1.46,0.12433333333333332
0.5693480968475342,1.46,0.10833333333333332
0.5845139026641846,1.46,0.09666666666666666
0.6005113124847412,1.47,0.08433333333333333
0.6175045967102051,1.47,0.07466666666666666
0.6329281330108643,1.47,0.06433333333333333
0.6490058898925781,1.47,0.054
0.6641390323638916,1.47,0.048999999999999995
0.6814758777618408,1.47,0.041666666666666664
0.6974670886993408,1.47,0.034666666666666665
0.7130296230316162,1.47,0.028999999999999998
0.7294173240661621,1.47,0.024
0.7463231086730957,1.47,0.020999999999999998
0.7610976696014404,1.47,0.017333333333333333
0.7779240608215332,1.47,0.015
0.7933337688446045,1.47,0.013
0.8092985153198242,1.48,0.01
0.8244123458862305,1.48,0.008
0.8417212963104248,1.48,0.007
0.8565468788146973,1.48,0.004666666666666666
0.8724987506866455,1.48,0.0026666666666666666
0.890023946762085,1.49,0.0006666666666666666
0.9048805236816406,1.48,0.0006666666666666666
0.9203472137451172,1.49,0.0
0.9364030361175537,1.49,0.0
0.9538507461547852,1.49,0.0
0.969721794128418,1.49,0.0
0.9843032360076904,1.49,0.0
1.0014808177947998,1.49,0.0
1.0175087451934814,1.49,0.0
1.0323729515075684,1.5,0.0
1.0488941669464111,1.5,0.0
1.0642385482788086,1.5,0.0
1.0811889171600342,1.5,0.0
1.098055362701416,1.5,0.0
1.113159418106079,1.5,0.0
