Experiment name,PEO0dot03_1
Start time (UTC),2025-08-07 10:21:22.105558+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.91
Relative humidity (%),54.07
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.015633344650268555,1.52,0.0
0.0,1.52,0.0
0.016490936279296875,1.52,0.0
0.03251147270202637,1.52,0.029666666666666664
0.049241065979003906,1.51,0.14566666666666667
0.06411623954772949,1.51,0.826
0.08045625686645508,1.5,2.086
0.09573817253112793,1.49,3.175333333333333
0.11170482635498047,1.48,4.014
0.1293048858642578,1.48,4.831666666666666
0.14339041709899902,1.47,4.9703333333333335
0.1610119342803955,1.46,4.548
0.17505979537963867,1.45,4.094
0.1915898323059082,1.44,3.5309999999999997
0.2074573040008545,1.43,3.0243333333333333
0.22490549087524414,1.43,2.5869999999999997
0.23990702629089355,1.42,2.247
0.2567765712738037,1.42,1.8933333333333333
0.2718636989593506,1.42,1.6456666666666666
0.288891077041626,1.42,1.409
0.30419206619262695,1.42,1.2266666666666666
0.3197011947631836,1.42,1.0473333333333332
0.3358149528503418,1.42,0.9109999999999999
0.3523564338684082,1.43,0.7793333333333333
0.36804962158203125,1.43,0.6669999999999999
0.3837716579437256,1.43,0.581
0.4005930423736572,1.44,0.4983333333333333
0.4160010814666748,1.44,0.42766666666666664
0.4319484233856201,1.44,0.3723333333333333
0.44791603088378906,1.44,0.32066666666666666
0.4647684097290039,1.45,0.27499999999999997
0.480069637298584,1.45,0.239
0.4956471920013428,1.44,0.2063333333333333
0.512526273727417,1.44,0.176
0.5279598236083984,1.45,0.154
0.5436742305755615,1.45,0.13466666666666666
0.5592708587646484,1.46,0.118
0.5756428241729736,1.46,0.10166666666666667
0.5912411212921143,1.47,0.09033333333333333
0.6075334548950195,1.47,0.077
0.6233692169189453,1.47,0.066
0.6391613483428955,1.47,0.059666666666666666
0.6559545993804932,1.47,0.050666666666666665
0.6716928482055664,1.47,0.043
0.6882920265197754,1.47,0.037
0.7037942409515381,1.48,0.03266666666666666
0.7211697101593018,1.48,0.027
0.7370734214782715,1.48,0.02333333333333333
0.7524526119232178,1.48,0.02033333333333333
0.7679958343505859,1.49,0.018666666666666665
0.7849898338317871,1.49,0.013666666666666666
0.7992866039276123,1.49,0.010666666666666666
0.8160028457641602,1.49,0.009333333333333332
0.8317017555236816,1.49,0.008333333333333333
0.8476955890655518,1.49,0.004666666666666666
0.8635799884796143,1.49,0.0026666666666666666
0.8801791667938232,1.49,0.0016666666666666666
0.8959240913391113,1.49,0.0
0.9119997024536133,1.49,0.0
0.927741527557373,1.48,0.0
0.9439995288848877,1.49,0.0
0.9609255790710449,1.49,0.0
0.9756741523742676,1.49,0.0
0.9911971092224121,1.5,0.0
1.0087580680847168,1.5,0.0
1.0236246585845947,1.5,0.0
1.0400545597076416,1.49,0.0
1.0551073551177979,1.5,0.0
1.0712435245513916,1.5,0.0
1.0873594284057617,1.5,0.0
1.1046102046966553,1.5,0.0
