Experiment name,PEO0dot03_8_shortrelaxation
Start time (UTC),2025-08-07 14:54:01.378315+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),22.06
Relative humidity (%),49.68
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
0.0,1.4,0.0
0.006056547164916992,1.49,0.0
0.02332019805908203,1.49,0.0
0.04031848907470703,1.49,0.07566666666666666
0.05609774589538574,1.49,0.30966666666666665
0.07077813148498535,1.49,1.4593333333333334
0.08629322052001953,1.48,2.574
0.10372400283813477,1.48,3.7356666666666665
0.11913609504699707,1.47,4.536
0.13482046127319336,1.46,5.159
0.149810791015625,1.45,5.082666666666666
0.16682147979736328,1.45,4.572666666666667
0.18363404273986816,1.44,3.9726666666666666
0.19846439361572266,1.43,3.4643333333333333
0.21407008171081543,1.43,3.013
0.23000884056091309,1.43,2.578333333333333
0.24763751029968262,1.42,2.171333333333333
0.26248598098754883,1.43,1.8853333333333333
0.27838587760925293,1.42,1.637
0.29579806327819824,1.42,1.3773333333333333
0.31144213676452637,1.42,1.1953333333333334
0.3272435665130615,1.42,1.025
0.34290599822998047,1.43,0.895
0.35870885848999023,1.43,0.767
0.3744082450866699,1.43,0.6686666666666666
0.3903629779815674,1.43,0.5723333333333334
0.40678858757019043,1.43,0.494
0.42292189598083496,1.43,0.42433333333333334
0.43839001655578613,1.44,0.37
0.45482730865478516,1.43,0.318
0.4711148738861084,1.43,0.2723333333333333
0.48656630516052246,1.44,0.237
0.5024139881134033,1.44,0.20466666666666666
0.5196421146392822,1.45,0.17733333333333332
0.5354437828063965,1.45,0.15366666666666667
0.551091194152832,1.45,0.13366666666666666
0.5656957626342773,1.45,0.11866666666666666
0.5832996368408203,1.45,0.10099999999999999
0.5987372398376465,1.45,0.08966666666666666
0.6142308712005615,1.46,0.079
0.6314864158630371,1.46,0.067
0.6483464241027832,1.47,0.057999999999999996
0.6618547439575195,1.47,0.052
0.6791667938232422,1.47,0.04433333333333333
0.6946146488189697,1.47,0.03833333333333333
0.7107460498809814,1.48,0.033
0.726414680480957,1.48,0.028333333333333332
0.742567777633667,1.48,0.024333333333333332
0.7589306831359863,1.48,0.019333333333333334
0.7754189968109131,1.48,0.016999999999999998
0.7915599346160889,1.48,0.016
0.8067610263824463,1.48,0.013333333333333332
0.8220987319946289,1.48,0.012
0.8382539749145508,1.49,0.009333333333333332
0.8550319671630859,1.49,0.008
0.870781421661377,1.49,0.006666666666666666
0.8863532543182373,1.49,0.004333333333333333
0.9028234481811523,1.49,0.003
0.9194180965423584,1.49,0.001
0.933988094329834,1.49,0.0
0.9512937068939209,1.49,0.0
0.9664995670318604,1.49,0.0
0.9838113784790039,1.5,0.0
0.9983594417572021,1.5,0.0
1.015533208847046,1.5,0.0
1.030193567276001,1.5,0.0
1.0458648204803467,1.5,0.0
1.0634534358978271,1.5,0.0
1.0788121223449707,1.5,0.0
1.0951921939849854,1.5,0.0
1.1106202602386475,1.5,0.0
1.1271638870239258,1.49,0.0
