Experiment name,PEO_1percent_4
Start time (UTC),2025-08-21 14:36:00.874102+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.53
Relative humidity (%),51.68
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
0.0,1.51,0.0
0.009092092514038086,1.51,0.0
0.026519060134887695,1.5,0.004
0.04260563850402832,1.5,0.09933333333333333
0.05853915214538574,1.5,0.4953333333333333
0.07437300682067871,1.49,1.7069999999999999
0.09088993072509766,1.49,2.895
0.10577845573425293,1.48,3.811
0.12133073806762695,1.47,4.676
0.13808012008666992,1.47,5.172666666666666
0.15401625633239746,1.46,4.9816666666666665
0.17027807235717773,1.45,4.435666666666666
0.18641996383666992,1.44,3.8409999999999997
0.20366311073303223,1.44,3.294
0.21810150146484375,1.44,2.860333333333333
0.23520827293395996,1.43,2.4483333333333333
0.24973535537719727,1.44,2.127333333333333
0.2656710147857666,1.42,1.8206666666666667
0.28205037117004395,1.43,1.5566666666666666
0.29722070693969727,1.42,1.353
0.31483912467956543,1.42,1.1563333333333332
0.3305349349975586,1.42,0.9883333333333333
0.34616732597351074,1.43,0.86
0.3617746829986572,1.44,0.7373333333333333
0.378173828125,1.44,0.6326666666666666
0.39429473876953125,1.44,0.5513333333333333
0.4101295471191406,1.44,0.4736666666666666
0.42691731452941895,1.44,0.4076666666666667
0.4419057369232178,1.44,0.358
0.45830726623535156,1.44,0.30866666666666664
0.4747605323791504,1.44,0.268
0.49075794219970703,1.45,0.22966666666666666
0.5057148933410645,1.45,0.19866666666666666
0.5231361389160156,1.45,0.17099999999999999
0.5379750728607178,1.46,0.15033333333333332
0.5537087917327881,1.46,0.13066666666666665
0.5702037811279297,1.47,0.112
0.5856664180755615,1.47,0.09866666666666667
0.6015925407409668,1.47,0.08466666666666667
0.6170535087585449,1.48,0.073
0.6345281600952148,1.48,0.063
0.6495182514190674,1.48,0.056999999999999995
0.6652507781982422,1.48,0.04833333333333333
0.6824531555175781,1.48,0.04
0.698340892791748,1.47,0.034333333333333334
0.7147684097290039,1.48,0.03133333333333333
0.7298898696899414,1.48,0.026333333333333334
0.7468447685241699,1.48,0.020999999999999998
0.7615277767181396,1.48,0.017666666666666667
0.7775290012359619,1.49,0.01633333333333333
0.7942383289337158,1.49,0.013333333333333332
0.8109216690063477,1.49,0.010666666666666666
0.8255307674407959,1.49,0.009
0.8422114849090576,1.49,0.008333333333333333
0.8579347133636475,1.49,0.007333333333333333
0.8745326995849609,1.49,0.004333333333333333
0.8898544311523438,1.49,0.004
0.9056944847106934,1.49,0.0036666666666666666
0.9221096038818359,1.49,0.0013333333333333333
0.9371027946472168,1.49,0.0003333333333333333
0.9530601501464844,1.49,0.0
0.9704546928405762,1.48,0.0
0.9856650829315186,1.49,0.0
1.001769781112671,1.49,0.0
1.018249750137329,1.5,0.0
1.0334055423736572,1.49,0.0
1.0499792098999023,1.49,0.0
1.0660998821258545,1.49,0.0
1.0815417766571045,1.5,0.0
1.0979421138763428,1.5,0.0
1.1143739223480225,1.5,0.0
