Experiment name,PEO0dot25_1bar_1
Start time (UTC),2025-08-29 09:55:32.003983+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.12
Relative humidity (%),57.66
SprayTec lift height (mm),346.1

Elapsed time (s),Pressure (bar),Flow rate (L/s)
0.0,1.01,0.0
0.009793281555175781,1.01,0.0
0.025586843490600586,1.01,0.0
0.042281150817871094,1.01,0.06866666666666667
0.057509422302246094,1.01,0.20299999999999999
0.07342267036437988,1.0,0.97
0.0899350643157959,0.99,1.8843333333333332
0.10668253898620605,0.98,2.7326666666666664
0.12191510200500488,0.97,3.3169999999999997
0.1390078067779541,0.97,3.7366666666666664
0.15357470512390137,0.97,3.6406666666666667
0.16953277587890625,0.95,3.304
0.18653321266174316,0.95,2.8289999999999997
0.20220327377319336,0.95,2.4659999999999997
0.21824097633361816,0.94,2.1109999999999998
0.23456072807312012,0.94,1.8353333333333333
0.25063204765319824,0.94,1.5673333333333332
0.26750707626342773,0.94,1.3183333333333334
0.2814507484436035,0.94,1.1643333333333332
0.29801177978515625,0.94,0.996
0.3143422603607178,0.94,0.852
0.33106398582458496,0.93,0.73
0.3460550308227539,0.93,0.6333333333333333
0.36218905448913574,0.93,0.5413333333333333
0.37841057777404785,0.93,0.4646666666666667
0.394167423248291,0.94,0.4076666666666667
0.4098644256591797,0.94,0.35366666666666663
0.4254763126373291,0.94,0.304
0.4418044090270996,0.94,0.2623333333333333
0.45824432373046875,0.95,0.22566666666666665
0.47339487075805664,0.95,0.19699999999999998
0.4908318519592285,0.95,0.17166666666666666
0.5053212642669678,0.95,0.14933333333333332
0.5221371650695801,0.95,0.129
0.5379757881164551,0.96,0.109
0.5537521839141846,0.96,0.095
0.5700075626373291,0.96,0.08166666666666667
0.5857107639312744,0.96,0.07133333333333333
0.6020009517669678,0.96,0.06266666666666666
0.6173586845397949,0.96,0.05533333333333333
0.6334133148193359,0.97,0.048999999999999995
0.6497843265533447,0.97,0.041
0.6670904159545898,0.97,0.03333333333333333
0.6819005012512207,0.97,0.027666666666666666
0.6978092193603516,0.98,0.02333333333333333
0.7135818004608154,0.98,0.019333333333333334
0.7298603057861328,0.98,0.01633333333333333
0.7457160949707031,0.97,0.013333333333333332
0.761958122253418,0.98,0.011333333333333332
0.7780449390411377,0.98,0.009333333333333332
0.7947745323181152,0.98,0.008333333333333333
0.8105995655059814,0.98,0.008
0.8257958889007568,0.99,0.006
0.8425664901733398,0.99,0.004333333333333333
0.8578410148620605,0.99,0.003333333333333333
0.8741588592529297,0.99,0.003
0.8898866176605225,0.99,0.0016666666666666666
0.9060425758361816,0.99,0.001
0.9220864772796631,0.99,0.0003333333333333333
0.9381792545318604,0.99,0.0
0.9542152881622314,0.99,0.0
0.9697978496551514,0.99,0.0
0.9870247840881348,0.99,0.0
1.0020511150360107,1.0,0.0
1.0178346633911133,1.0,0.0
1.0343341827392578,1.0,0.0
1.0500411987304688,1.0,0.0
1.0653107166290283,1.0,0.0
1.0815515518188477,1.0,0.0
1.0973803997039795,1.0,0.0
1.1137566566467285,1.0,0.0
