Experiment name,PEO0dot25_1ml_10
Start time (UTC),2025-09-01 15:36:38.063420+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.97
Relative humidity (%),63.37
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.00919961929321289,1.0,0.0
0.0,1.52,0.0
0.01688075065612793,1.52,0.0
0.03145766258239746,1.52,0.033
0.04806637763977051,1.51,0.15266666666666667
0.06516075134277344,1.5,1.014
0.0798792839050293,1.49,2.1693333333333333
0.09766221046447754,1.49,3.3806666666666665
0.11187577247619629,1.47,4.133666666666667
0.12824106216430664,1.46,4.915
0.1448960304260254,1.46,5.115333333333333
0.1608269214630127,1.45,4.705666666666667
0.17712616920471191,1.45,4.116333333333333
0.19334006309509277,1.43,3.5966666666666667
0.20975852012634277,1.43,3.0773333333333333
0.22470355033874512,1.43,2.673
0.24037408828735352,1.42,2.283333333333333
0.25581979751586914,1.42,1.9816666666666667
0.2719082832336426,1.42,1.6936666666666667
0.28828883171081543,1.42,1.4489999999999998
0.3042783737182617,1.42,1.2583333333333333
0.32023048400878906,1.42,1.077
0.3369784355163574,1.42,0.9203333333333333
0.35179996490478516,1.42,0.8013333333333333
0.3676109313964844,1.42,0.6843333333333333
0.3861722946166992,1.43,0.5763333333333334
0.39971303939819336,1.43,0.51
0.4165689945220947,1.43,0.43766666666666665
0.43306660652160645,1.43,0.37466666666666665
0.4477217197418213,1.43,0.327
0.4637000560760498,1.44,0.28733333333333333
0.4809226989746094,1.44,0.24333333333333332
0.4956390857696533,1.44,0.212
0.512336254119873,1.44,0.18233333333333332
0.5282397270202637,1.44,0.16033333333333333
0.5446376800537109,1.45,0.13933333333333334
0.5607445240020752,1.45,0.12066666666666666
0.5762434005737305,1.45,0.10533333333333333
0.5915520191192627,1.46,0.09133333333333334
0.6090152263641357,1.46,0.07933333333333333
0.625124454498291,1.46,0.06933333333333333
0.639711856842041,1.46,0.06
0.6575324535369873,1.46,0.051333333333333335
0.671940803527832,1.47,0.045
0.6881027221679688,1.47,0.036
0.704923152923584,1.47,0.03233333333333333
0.7205634117126465,1.47,0.028999999999999998
0.737968921661377,1.46,0.024333333333333332
0.752478837966919,1.47,0.018333333333333333
0.7675819396972656,1.47,0.014333333333333333
0.7843213081359863,1.47,0.011
0.8014898300170898,1.47,0.009333333333333332
0.8174436092376709,1.47,0.008
0.8336718082427979,1.48,0.008
0.849074125289917,1.47,0.006333333333333333
0.8645877838134766,1.47,0.003
0.8810913562774658,1.48,0.0026666666666666666
0.8962283134460449,1.48,0.0013333333333333333
0.9124834537506104,1.48,0.0
0.928016185760498,1.48,0.0
0.9440088272094727,1.48,0.0
0.9613537788391113,1.48,0.0
0.9764950275421143,1.48,0.0
0.9930222034454346,1.49,0.0
1.0087287425994873,1.49,0.0
1.0237066745758057,1.49,0.0
1.040160894393921,1.49,0.0
1.0559918880462646,1.49,0.0
1.0733528137207031,1.49,0.0
1.0891327857971191,1.49,0.0
1.1040453910827637,1.49,0.0
1.1197319030761719,1.49,0.0
