Experiment name,camera_spraytec_water_1ml_1dot5bar
Start time (UTC),2025-09-08 08:32:00.966471+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),20.82
Relative humidity (%),67.37
SprayTec lift height (mm),

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.006732463836669922,1.5,0.0
0.000518798828125,1.5,0.0
0.014976024627685547,1.5,0.0
0.031038999557495117,1.5,0.027
0.047132015228271484,1.5,0.13533333333333333
0.06286144256591797,1.5,0.656
0.0791480541229248,1.49,1.9223333333333332
0.09495997428894043,1.48,3.017
0.1104590892791748,1.47,3.861333333333333
0.1270430088043213,1.47,4.648333333333333
0.14333224296569824,1.45,4.944999999999999
0.15905070304870605,1.44,4.649
0.17485904693603516,1.44,4.096
0.19171500205993652,1.43,3.5296666666666665
0.2061452865600586,1.42,3.0676666666666668
0.22272229194641113,1.42,2.619333333333333
0.2399306297302246,1.42,2.236666666666667
0.2551441192626953,1.42,1.9386666666666665
0.27071261405944824,1.42,1.6533333333333333
0.2881450653076172,1.42,1.4106666666666665
0.3023698329925537,1.42,1.2236666666666667
0.3181753158569336,1.42,1.0443333333333333
0.3347785472869873,1.42,0.892
0.3515477180480957,1.42,0.7596666666666666
0.36682581901550293,1.42,0.658
0.3826417922973633,1.43,0.5596666666666666
0.3986787796020508,1.43,0.48666666666666664
0.4155845642089844,1.43,0.416
0.43055272102355957,1.43,0.36
0.4469795227050781,1.43,0.30433333333333334
0.4626326560974121,1.43,0.26166666666666666
0.48061203956604004,1.43,0.21966666666666665
0.49475979804992676,1.43,0.19133333333333333
0.5100774765014648,1.44,0.162
0.5268805027008057,1.44,0.13966666666666666
0.5430800914764404,1.45,0.11866666666666666
0.558384895324707,1.45,0.09899999999999999
0.575782299041748,1.46,0.08433333333333333
0.5912652015686035,1.46,0.072
0.6076517105102539,1.46,0.06033333333333333
0.6224265098571777,1.47,0.051333333333333335
0.6393847465515137,1.47,0.043333333333333335
0.6553442478179932,1.47,0.035666666666666666
0.6710987091064453,1.47,0.028666666666666667
0.6873235702514648,1.48,0.025666666666666667
0.7030563354492188,1.47,0.02033333333333333
0.7184336185455322,1.47,0.015333333333333332
0.7350611686706543,1.47,0.011666666666666665
0.751136064529419,1.47,0.011333333333333332
0.7664778232574463,1.46,0.008333333333333333
0.7827742099761963,1.46,0.004666666666666666
0.7985236644744873,1.47,0.0013333333333333333
0.8141350746154785,1.47,0.0013333333333333333
0.832472562789917,1.47,0.0
0.8466317653656006,1.47,0.0
0.8636295795440674,1.48,0.0
0.8791141510009766,1.48,0.0
0.8950750827789307,1.48,0.0
0.911139726638794,1.49,0.0
0.9277799129486084,1.49,0.0
0.9423232078552246,1.5,0.0
0.9594986438751221,1.5,0.0
0.9753015041351318,1.5,0.0
0.9917926788330078,1.5,0.0
1.0076777935028076,1.5,0.0
1.0221149921417236,1.5,0.0
1.0396103858947754,1.5,0.0
1.0554213523864746,1.5,0.0
1.0706846714019775,1.5,0.0
1.0862021446228027,1.5,0.0
1.1028761863708496,1.5,0.0
1.119633674621582,1.49,0.0
1.1349620819091797,1.5,0.0
