 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.000,83.000,83.000,83.000,0.436,8.200,0.000,0.000
2,0.000,124.000,124.000,124.000,0.453,8.043,0.000,0.000
3,0.000,223.000,223.000,223.000,0.464,7.864,0.000,0.000
4,0.000,255.000,255.000,255.000,0.468,7.542,0.000,0.000
5,0.000,132.000,132.000,132.000,0.470,7.201,0.000,0.000
6,0.000,255.000,255.000,255.000,0.481,6.771,0.000,0.000
7,0.000,255.000,255.000,255.000,0.481,6.323,0.000,0.000
8,0.000,98.000,98.000,98.000,0.499,5.821,0.000,0.000
9,0.000,255.000,255.000,255.000,0.506,5.319,0.000,0.000
10,0.000,255.000,255.000,255.000,0.514,4.889,0.000,0.000
11,0.000,132.000,132.000,132.000,0.520,4.530,0.000,0.000
12,0.000,83.000,83.000,83.000,0.533,4.082,0.000,0.000
13,0.000,236.000,236.000,236.000,0.541,3.580,0.000,0.000
14,0.000,83.000,83.000,83.000,0.556,3.078,0.000,0.000
15,0.000,110.000,110.000,110.000,0.570,2.774,0.000,0.000
16,0.000,98.000,98.000,98.000,0.589,2.523,0.000,0.000
17,0.000,98.000,98.000,98.000,0.616,2.218,0.000,0.000
18,0.000,132.000,132.000,132.000,0.644,2.039,0.000,0.000
19,0.000,98.000,98.000,98.000,0.675,1.985,0.000,0.000
20,0.000,98.000,98.000,98.000,0.708,2.021,0.000,0.000
21,0.000,98.000,98.000,98.000,0.755,2.164,0.000,0.000
22,0.000,132.000,132.000,132.000,0.775,2.379,0.000,0.000
23,0.000,102.000,102.000,102.000,0.796,2.487,0.000,0.000
24,0.000,132.000,132.000,132.000,0.838,2.666,0.000,0.000
25,0.000,112.000,112.000,112.000,0.865,2.863,0.000,0.000
26,0.000,103.000,103.000,103.000,0.899,2.989,0.000,0.000
27,0.000,98.000,98.000,98.000,0.943,3.168,0.000,0.000
28,0.000,83.000,83.000,83.000,0.957,3.419,0.000,0.000
29,0.000,255.000,255.000,255.000,0.972,3.903,0.000,0.000
30,0.000,255.000,255.000,255.000,0.982,4.333,0.000,0.000
31,0.000,255.000,255.000,255.000,0.995,4.817,0.000,0.000
32,0.000,255.000,255.000,255.000,1.012,5.211,0.000,0.000
33,0.000,132.000,132.000,132.000,1.014,5.570,0.000,0.000
34,0.000,132.000,132.000,132.000,1.039,6.108,0.000,0.000
35,0.000,246.000,246.000,246.000,1.062,6.484,0.000,0.000
36,0.000,255.000,255.000,255.000,1.089,6.860,0.000,0.000
37,0.000,98.000,98.000,98.000,1.118,7.129,0.000,0.000
38,0.000,83.000,83.000,83.000,1.162,7.344,0.000,0.000
39,0.000,132.000,132.000,132.000,1.183,7.568,0.000,0.000
40,0.000,98.000,98.000,98.000,1.215,7.766,0.000,0.000
41,0.000,98.000,98.000,98.000,1.250,7.927,0.000,0.000
42,0.000,98.000,98.000,98.000,1.275,7.981,0.000,0.000
43,0.000,255.000,255.000,255.000,1.309,8.070,0.000,0.000
44,0.000,98.000,98.000,98.000,1.338,8.052,0.000,0.000
45,0.000,97.000,97.000,97.000,1.380,8.124,0.000,0.000
46,0.000,98.000,98.000,98.000,1.407,8.124,0.000,0.000
47,0.000,98.000,98.000,98.000,1.451,8.142,0.000,0.000
48,0.000,98.000,98.000,98.000,1.476,8.160,0.000,0.000
49,0.000,86.000,86.000,86.000,1.505,8.142,0.000,0.000
50,0.000,129.000,129.000,129.000,1.547,8.196,0.000,0.000
