 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.000,33.000,33.000,33.000,4.912,14.865,0,0.000
2,0.000,33.000,33.000,33.000,4.925,15.210,0,0.000
3,0.000,34.000,34.000,34.000,4.957,15.554,0,0.000
4,0.000,35.000,35.000,35.000,4.967,16.555,0,0.000
5,0.000,41.000,41.000,41.000,4.964,17.762,0,0.000
6,0.000,51.000,51.000,51.000,4.967,18.658,0,0.000
7,0.000,33.000,33.000,33.000,4.971,19.555,0,0.000
8,0.000,33.000,33.000,33.000,4.977,20.245,0,0.000
9,0.000,193.000,193.000,193.000,4.995,20.935,0,0.000
10,0.000,147.000,147.000,147.000,5.016,20.659,0,0.000
11,0.000,51.000,51.000,51.000,5.016,20.245,0,0.000
12,0.000,33.000,33.000,33.000,5.016,19.624,0,0.000
13,0.000,65.000,65.000,65.000,5.029,19.176,0,0.000
14,0.000,37.000,37.000,37.000,5.036,18.555,0,0.000
15,0.000,38.000,38.000,38.000,5.040,18.107,0,0.000
16,0.000,36.000,36.000,36.000,5.064,17.624,0,0.000
17,0.000,35.000,35.000,35.000,5.095,17.279,0,0.000
18,0.000,33.000,33.000,33.000,5.127,16.899,0,0.000
19,0.000,41.000,41.000,41.000,5.154,16.451,0,0.000
20,0.000,33.000,33.000,33.000,5.182,15.968,0,0.000
21,0.000,80.000,80.000,80.000,5.213,15.899,0,0.000
22,0.000,135.000,135.000,135.000,5.234,16.486,0,0.000
23,0.000,93.000,93.000,93.000,5.237,16.865,0,0.000
24,0.000,38.000,38.000,38.000,5.230,17.313,0,0.000
25,0.000,37.000,37.000,37.000,5.234,17.796,0,0.000
26,0.000,139.000,139.000,139.000,5.269,17.727,0,0.000
27,0.000,39.000,39.000,39.000,5.293,17.486,0,0.000
28,0.000,48.000,48.000,48.000,5.338,17.382,0,0.000
29,0.000,39.000,39.000,39.000,5.383,17.210,0,0.000
30,0.000,36.000,36.000,36.000,5.428,17.175,0,0.000
31,0.000,33.000,33.000,33.000,5.466,17.037,0,0.000
32,0.000,40.000,40.000,40.000,5.490,16.830,0,0.000
33,0.000,41.000,41.000,41.000,5.511,16.624,0,0.000
34,0.000,37.000,37.000,37.000,5.546,16.313,0,0.000
35,0.000,65.000,65.000,65.000,5.584,16.072,0,0.000
36,0.000,36.000,36.000,36.000,5.612,15.761,0,0.000
37,0.000,34.000,34.000,34.000,5.650,15.623,0,0.000
38,0.000,39.000,39.000,39.000,5.681,15.313,0,0.000
39,0.000,33.000,33.000,33.000,5.705,15.003,0,0.000
