Experiment name,PEO_0dot25_10
Start time (UTC),2025-08-06 09:47:14.385113+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.91
Relative humidity (%),54.68
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.006109952926635742,1.47,0.0
0.0,1.47,0.0
0.01705312728881836,1.47,0.0
0.03220772743225098,1.48,0.03266666666666666
0.04991745948791504,1.48,0.17066666666666666
0.06430625915527344,1.48,0.8726666666666666
0.08081674575805664,1.48,2.1526666666666667
0.09688520431518555,1.47,3.2569999999999997
0.11378097534179688,1.47,4.1946666666666665
0.12979960441589355,1.47,4.942666666666667
0.14575481414794922,1.45,5.074666666666666
0.16019129753112793,1.45,4.716
0.17629599571228027,1.44,4.135666666666666
0.1942911148071289,1.43,3.5056666666666665
0.209547758102417,1.43,3.0493333333333332
0.22522234916687012,1.43,2.6486666666666667
0.24052786827087402,1.43,2.2656666666666667
0.25775718688964844,1.42,1.936
0.2723217010498047,1.42,1.6836666666666666
0.2891075611114502,1.43,1.442
0.3051581382751465,1.42,1.2343333333333333
0.32187771797180176,1.42,1.055
0.33785390853881836,1.42,0.9186666666666666
0.35393381118774414,1.43,0.7896666666666666
0.3690671920776367,1.43,0.6869999999999999
0.38521862030029297,1.43,0.5893333333333333
0.4008164405822754,1.43,0.512
0.41901254653930664,1.44,0.43266666666666664
0.4323558807373047,1.44,0.3833333333333333
0.44915318489074707,1.44,0.3323333333333333
0.4660491943359375,1.44,0.27999999999999997
0.48059868812561035,1.45,0.24633333333333332
0.4971482753753662,1.45,0.21366666666666667
0.5132405757904053,1.45,0.18333333333333332
0.5289673805236816,1.46,0.15933333333333333
0.5452718734741211,1.46,0.13966666666666666
0.5616953372955322,1.46,0.12166666666666666
0.5765159130096436,1.47,0.10766666666666666
0.5934035778045654,1.47,0.09066666666666666
0.6089780330657959,1.47,0.07766666666666666
0.626223087310791,1.47,0.067
0.6408450603485107,1.47,0.05733333333333333
0.6570417881011963,1.48,0.050333333333333334
0.6743261814117432,1.47,0.04433333333333333
0.6889514923095703,1.47,0.03733333333333333
0.7052292823791504,1.48,0.03333333333333333
0.7218985557556152,1.48,0.030666666666666665
0.7368652820587158,1.48,0.024
0.7529182434082031,1.48,0.022333333333333334
0.7701132297515869,1.47,0.018333333333333333
0.7849903106689453,1.48,0.015
0.8004946708679199,1.48,0.012666666666666666
0.816706657409668,1.48,0.01
0.8343451023101807,1.48,0.006333333333333333
0.8487772941589355,1.49,0.005666666666666666
0.8646030426025391,1.48,0.004333333333333333
0.8808107376098633,1.48,0.003
0.8968491554260254,1.49,0.001
0.9127154350280762,1.49,0.0
0.9288351535797119,1.49,0.0
0.9451689720153809,1.5,0.0003333333333333333
0.9623041152954102,1.5,0.0
0.976905107498169,1.5,0.0
0.9947834014892578,1.49,0.0
1.0109057426452637,1.5,0.0
1.025277853012085,1.5,0.0
1.0401701927185059,1.5,0.0
1.0568196773529053,1.5,0.0
1.0741169452667236,1.51,0.0
1.089085340499878,1.51,0.0
1.1052093505859375,1.5,0.0
