Experiment name,PEO0dot03_2
Start time (UTC),2025-08-07 11:47:54.797550+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.79
Relative humidity (%),54.17
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.005545139312744141,1.51,0.0
0.0,1.51,0.0
0.017873525619506836,1.51,0.0
0.03296256065368652,1.51,0.03333333333333333
0.049027442932128906,1.51,0.153
0.06458020210266113,1.5,0.8973333333333333
0.08053827285766602,1.49,2.171333333333333
0.09682869911193848,1.48,3.271
0.11299514770507812,1.48,4.1146666666666665
0.12971138954162598,1.48,4.883
0.14396071434020996,1.46,5.068
0.15993261337280273,1.45,4.682666666666666
0.17652273178100586,1.44,4.105666666666666
0.19319462776184082,1.44,3.5346666666666664
0.2097945213317871,1.43,3.0276666666666667
0.22426772117614746,1.43,2.6706666666666665
0.24087810516357422,1.43,2.247333333333333
0.2560577392578125,1.42,1.954
0.2727794647216797,1.42,1.67
0.28898072242736816,1.42,1.4296666666666666
0.30469608306884766,1.42,1.2429999999999999
0.32062411308288574,1.42,1.061
0.33734822273254395,1.42,0.9079999999999999
0.35261082649230957,1.42,0.7906666666666666
0.36926913261413574,1.42,0.6773333333333333
0.3847670555114746,1.43,0.5896666666666667
0.400890588760376,1.43,0.509
0.41716766357421875,1.43,0.43766666666666665
0.43211960792541504,1.44,0.37966666666666665
0.44850850105285645,1.43,0.3293333333333333
0.4644789695739746,1.44,0.2826666666666667
0.4820237159729004,1.44,0.244
0.4966888427734375,1.44,0.21366666666666667
0.512749433517456,1.45,0.188
0.529127836227417,1.45,0.159
0.545128583908081,1.45,0.14033333333333334
0.5600664615631104,1.45,0.124
0.5765221118927002,1.45,0.10666666666666666
0.592231035232544,1.46,0.09066666666666666
0.6088693141937256,1.46,0.07833333333333332
0.6248931884765625,1.47,0.06799999999999999
0.6408045291900635,1.47,0.058333333333333334
0.6578891277313232,1.47,0.052
0.673527717590332,1.47,0.045
0.6892876625061035,1.47,0.04033333333333333
0.7051572799682617,1.47,0.033999999999999996
0.7207834720611572,1.47,0.029666666666666664
0.7367067337036133,1.48,0.023666666666666666
0.7529089450836182,1.48,0.018333333333333333
0.7696197032928467,1.48,0.016666666666666666
0.784621000289917,1.48,0.015
0.8014795780181885,1.48,0.011666666666666665
0.8165922164916992,1.49,0.01
0.8324646949768066,1.49,0.008
0.8479611873626709,1.49,0.005666666666666666
0.8659226894378662,1.49,0.005333333333333333
0.8806018829345703,1.49,0.004
0.8963673114776611,1.49,0.002
0.9120550155639648,1.49,0.0
0.9280581474304199,1.49,0.0
0.9446897506713867,1.49,0.0
0.9608278274536133,1.49,0.0
0.9769058227539062,1.49,0.0
0.9923579692840576,1.5,0.0
1.0080478191375732,1.49,0.0
1.025527000427246,1.49,0.0
1.0419108867645264,1.5,0.0
1.058257818222046,1.5,0.0
1.0731475353240967,1.5,0.0
1.0891783237457275,1.5,0.0
1.1048099994659424,1.5,0.0
