Experiment name,PEO_1percent_8
Start time (UTC),2025-08-21 15:28:40.481356+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.73
Relative humidity (%),49.29
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
0.0,1.51,0.0
0.017915725708007812,1.51,0.0
0.033718109130859375,1.51,0.04
0.048859596252441406,1.5,0.14933333333333332
0.06585431098937988,1.5,0.994
0.08116507530212402,1.5,2.2773333333333334
0.09631109237670898,1.49,3.280333333333333
0.11335325241088867,1.48,4.228666666666666
0.12916040420532227,1.48,4.986666666666666
0.1443493366241455,1.47,5.122
0.1621086597442627,1.46,4.707666666666666
0.1770634651184082,1.45,4.176666666666667
0.1935732364654541,1.44,3.598
0.20896697044372559,1.44,3.0829999999999997
0.2249925136566162,1.44,2.6783333333333332
0.24197053909301758,1.43,2.2889999999999997
0.25800299644470215,1.43,1.958
0.2730684280395508,1.42,1.7006666666666665
0.28997349739074707,1.41,1.4546666666666666
0.305492639541626,1.41,1.2463333333333333
0.3211019039154053,1.42,1.0846666666666667
0.336702823638916,1.41,0.9296666666666666
0.35312938690185547,1.42,0.7966666666666666
0.3690619468688965,1.42,0.6953333333333334
0.3845968246459961,1.42,0.598
0.40154099464416504,1.43,0.5123333333333333
0.41736459732055664,1.43,0.4413333333333333
0.4333169460296631,1.42,0.385
0.44933509826660156,1.42,0.33166666666666667
0.46547508239746094,1.42,0.2886666666666667
0.48218345642089844,1.43,0.24733333333333332
0.49701762199401855,1.43,0.21333333333333332
0.5127904415130615,1.43,0.18533333333333332
0.5291192531585693,1.44,0.16033333333333333
0.5456337928771973,1.44,0.13999999999999999
0.5606222152709961,1.45,0.12366666666666666
0.5763306617736816,1.45,0.10766666666666666
0.5935177803039551,1.46,0.09266666666666666
0.6097419261932373,1.46,0.08366666666666667
0.6251001358032227,1.46,0.073
0.642420768737793,1.46,0.06233333333333333
0.6581528186798096,1.46,0.052
0.6729767322540283,1.47,0.04633333333333333
0.6888649463653564,1.46,0.04133333333333333
0.7063767910003662,1.47,0.033666666666666664
0.7214083671569824,1.47,0.028
0.7368237972259521,1.47,0.024999999999999998
0.7539277076721191,1.48,0.021666666666666667
0.768906831741333,1.48,0.019666666666666666
0.7848305702209473,1.48,0.016666666666666666
0.8020944595336914,1.48,0.012666666666666666
0.8176066875457764,1.47,0.010666666666666666
0.8324728012084961,1.48,0.008666666666666666
0.8499081134796143,1.48,0.008666666666666666
0.8647975921630859,1.48,0.006
0.8813800811767578,1.48,0.002333333333333333
0.8969264030456543,1.48,0.0016666666666666666
0.9129636287689209,1.48,0.0013333333333333333
0.930588960647583,1.49,0.0
0.9453387260437012,1.49,0.0
0.9617762565612793,1.49,0.0
0.9772098064422607,1.49,0.0
0.9919300079345703,1.49,0.0
1.0100009441375732,1.49,0.0
1.0247669219970703,1.49,0.0
1.0421488285064697,1.5,0.0
1.057765245437622,1.49,0.0
1.0737800598144531,1.5,0.0
1.0881567001342773,1.5,0.0
1.1050899028778076,1.5,0.0
