Experiment name,PEO0dot25_1bar_9
Start time (UTC),2025-08-29 15:02:34.376717+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.66
Relative humidity (%),52.19
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.013651132583618164,1.01,0.0
0.0,1.0,0.0
0.016498088836669922,1.0,0.0
0.031966209411621094,1.01,0.018666666666666665
0.04894065856933594,1.0,0.11966666666666666
0.06416606903076172,1.0,0.5703333333333334
0.08107280731201172,0.99,1.5673333333333332
0.09689116477966309,0.98,2.4219999999999997
0.11203670501708984,0.97,3.0776666666666666
0.1281275749206543,0.97,3.6293333333333333
0.1437668800354004,0.96,3.8566666666666665
0.15986418724060059,0.96,3.623333333333333
0.17589855194091797,0.95,3.193
0.19274139404296875,0.94,2.7536666666666667
0.20941925048828125,0.94,2.36
0.2243058681488037,0.94,2.0536666666666665
0.24092626571655273,0.94,1.7543333333333333
0.255756139755249,0.94,1.524
0.2725541591644287,0.94,1.3036666666666665
0.2883486747741699,0.94,1.1139999999999999
0.30445218086242676,0.93,0.9543333333333333
0.31987500190734863,0.93,0.8303333333333333
0.33622312545776367,0.93,0.7116666666666667
0.3535647392272949,0.94,0.6113333333333333
0.36925673484802246,0.94,0.5233333333333333
0.38410425186157227,0.94,0.4573333333333333
0.4012572765350342,0.94,0.3923333333333333
0.4167032241821289,0.94,0.3393333333333333
0.4317464828491211,0.94,0.296
0.44833946228027344,0.94,0.2533333333333333
0.4651968479156494,0.94,0.21933333333333332
0.4817371368408203,0.95,0.18933333333333333
0.49541449546813965,0.95,0.16699999999999998
0.512406587600708,0.95,0.14333333333333334
0.5281264781951904,0.95,0.12366666666666666
0.5441453456878662,0.95,0.10733333333333334
0.560020923614502,0.96,0.094
0.5764057636260986,0.95,0.08233333333333333
0.5924618244171143,0.95,0.071
0.608799934387207,0.96,0.06433333333333333
0.6255667209625244,0.96,0.056
0.640474796295166,0.96,0.049999999999999996
0.6560463905334473,0.97,0.04433333333333333
0.6721286773681641,0.97,0.036333333333333336
0.6887695789337158,0.97,0.030666666666666665
0.7045137882232666,0.97,0.026333333333333334
0.7201590538024902,0.98,0.02333333333333333
0.7360250949859619,0.98,0.02
0.7525811195373535,0.98,0.015
0.7676465511322021,0.97,0.015
0.7845232486724854,0.97,0.011666666666666665
0.800764799118042,0.97,0.008666666666666666
0.8167784214019775,0.98,0.006666666666666666
0.833329439163208,0.98,0.005333333333333333
0.8476803302764893,0.98,0.005
0.8639159202575684,0.99,0.004
0.8811802864074707,0.99,0.003
0.8960714340209961,0.99,0.0026666666666666666
0.911851167678833,0.99,0.0013333333333333333
0.9290316104888916,0.98,0.0003333333333333333
0.9438490867614746,0.99,0.0
0.9622983932495117,0.99,0.0
0.9763216972351074,0.99,0.0
0.9925370216369629,1.0,0.0
1.0076329708099365,1.0,0.0
1.0242154598236084,0.99,0.0
1.0393235683441162,0.99,0.0
1.0554487705230713,0.99,0.0
1.0712978839874268,0.99,0.0
1.0887904167175293,0.99,0.0
1.104020357131958,0.99,0.0
