Experiment name,PEO0dot25_1ml_7
Start time (UTC),2025-09-01 15:10:39.634017+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.97
Relative humidity (%),64.60
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
0.0,1.5,0.0
0.019982576370239258,1.5,0.0
0.03761482238769531,1.5,0.06033333333333333
0.05257821083068848,1.5,0.195
0.06965065002441406,1.49,1.3913333333333333
0.08576822280883789,1.49,2.4986666666666664
0.10037851333618164,1.48,3.4606666666666666
0.11656641960144043,1.47,4.372333333333334
0.13285136222839355,1.47,5.061333333333333
0.14763116836547852,1.46,5.085
0.1647491455078125,1.45,4.617999999999999
0.1811683177947998,1.44,4.0249999999999995
0.19616913795471191,1.44,3.5123333333333333
0.21219611167907715,1.43,3.006
0.22890257835388184,1.43,2.5676666666666668
0.24508380889892578,1.43,2.2279999999999998
0.26009225845336914,1.42,1.9343333333333332
0.2760493755340576,1.42,1.655
0.291719913482666,1.42,1.4146666666666665
0.3083839416503906,1.42,1.2093333333333334
0.3239326477050781,1.42,1.051
0.34165239334106445,1.42,0.8873333333333333
0.3564574718475342,1.42,0.7733333333333333
0.3726005554199219,1.43,0.6646666666666666
0.38855862617492676,1.43,0.577
0.4044067859649658,1.43,0.4923333333333333
0.4203329086303711,1.43,0.43033333333333335
0.43746137619018555,1.43,0.36233333333333334
0.45310211181640625,1.43,0.3163333333333333
0.4675869941711426,1.44,0.2753333333333333
0.4844200611114502,1.45,0.235
0.5010697841644287,1.45,0.20066666666666666
0.5161259174346924,1.44,0.17566666666666667
0.5323648452758789,1.45,0.152
0.5489113330841064,1.45,0.131
0.565406322479248,1.46,0.11233333333333333
0.5805480480194092,1.46,0.097
0.5980637073516846,1.46,0.07966666666666666
0.6142570972442627,1.47,0.07066666666666667
0.6293118000030518,1.46,0.06133333333333333
0.6447196006774902,1.47,0.05333333333333333
0.6609716415405273,1.47,0.04566666666666667
0.6760663986206055,1.47,0.04033333333333333
0.69266676902771,1.47,0.03266666666666666
0.7100629806518555,1.47,0.026666666666666665
0.7258114814758301,1.48,0.02333333333333333
0.7398583889007568,1.48,0.021666666666666667
0.757063627243042,1.48,0.016666666666666666
0.7722201347351074,1.48,0.014
0.7878775596618652,1.48,0.012
0.8042418956756592,1.48,0.011333333333333332
0.8204169273376465,1.48,0.007666666666666666
0.8361456394195557,1.48,0.003
0.8520445823669434,1.49,0.004
0.8676540851593018,1.48,0.004666666666666666
0.8857769966125488,1.49,0.001
0.9011590480804443,1.49,0.0
0.9165744781494141,1.49,0.0
0.9335372447967529,1.49,0.0
0.9480211734771729,1.49,0.0
0.9654421806335449,1.49,0.0
0.9799220561981201,1.49,0.0
0.9968979358673096,1.5,0.0
1.0127618312835693,1.5,0.0
1.027623176574707,1.49,0.0
1.043820858001709,1.49,0.0
1.0610988140106201,1.5,0.0
1.0757777690887451,1.5,0.0
1.0917532444000244,1.5,0.0
1.109334945678711,1.5,0.0
