Experiment name,water_3
Start time (UTC),2025-09-02 10:09:31.263726+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.75
Relative humidity (%),57.28
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
0.0,1.48,0.0
0.010737895965576172,1.48,0.0
0.0257108211517334,1.48,0.004333333333333333
0.04273700714111328,1.48,0.09999999999999999
0.058548688888549805,1.48,0.39
0.0738072395324707,1.48,1.704
0.09185004234313965,1.46,2.990333333333333
0.10707569122314453,1.46,3.888
0.12261772155761719,1.45,4.655666666666667
0.13991141319274902,1.45,5.120333333333333
0.15431952476501465,1.44,4.906666666666666
0.17203497886657715,1.43,4.300333333333334
0.18708539009094238,1.42,3.7689999999999997
0.20180010795593262,1.42,3.284333333333333
0.2200770378112793,1.41,2.7676666666666665
0.2342240810394287,1.41,2.4406666666666665
0.24987506866455078,1.42,2.0846666666666667
0.267059326171875,1.41,1.7813333333333332
0.28296685218811035,1.41,1.525
0.29865264892578125,1.41,1.3256666666666665
0.31459665298461914,1.42,1.134
0.33003783226013184,1.42,0.9876666666666666
0.3462793827056885,1.42,0.8483333333333333
0.36308717727661133,1.42,0.7253333333333333
0.3776867389678955,1.42,0.6323333333333333
0.394697904586792,1.42,0.5413333333333333
0.4111042022705078,1.42,0.4623333333333333
0.426591157913208,1.42,0.39799999999999996
0.44197511672973633,1.43,0.34833333333333333
0.4582974910736084,1.43,0.30133333333333334
0.4761824607849121,1.44,0.2533333333333333
0.49149036407470703,1.44,0.22066666666666665
0.5068416595458984,1.44,0.19533333333333333
0.5225427150726318,1.44,0.17266666666666666
0.5387020111083984,1.45,0.14666666666666667
0.5536999702453613,1.45,0.12633333333333333
0.5708873271942139,1.46,0.108
0.5861673355102539,1.45,0.09533333333333333
0.6040716171264648,1.46,0.08066666666666666
0.6181559562683105,1.46,0.073
0.6343076229095459,1.47,0.06266666666666666
0.651308536529541,1.47,0.05533333333333333
0.6670792102813721,1.47,0.04466666666666667
0.6841886043548584,1.47,0.039
0.6988625526428223,1.47,0.03233333333333333
0.7139461040496826,1.48,0.025666666666666667
0.7293956279754639,1.47,0.021333333333333333
0.746370792388916,1.47,0.019666666666666666
0.763643741607666,1.48,0.016999999999999998
0.779721736907959,1.48,0.013333333333333332
0.7940754890441895,1.48,0.01
0.8107857704162598,1.48,0.008
0.825822114944458,1.48,0.005
0.842714786529541,1.48,0.005333333333333333
0.858025312423706,1.48,0.003
0.8741011619567871,1.48,0.0016666666666666666
0.8899497985839844,1.47,0.0013333333333333333
0.906404972076416,1.47,0.0
0.9222822189331055,1.48,0.0
0.938300609588623,1.48,0.0
0.9544177055358887,1.48,0.0
0.97013258934021,1.48,0.0
0.9864027500152588,1.48,0.0
1.0027132034301758,1.48,0.0
1.019413948059082,1.48,0.0
1.0337438583374023,1.48,0.0
1.0509696006774902,1.48,0.0
1.0657992362976074,1.49,0.0
1.082160472869873,1.48,0.0
1.0986392498016357,1.49,0.0
1.1145026683807373,1.49,0.0
