Experiment name,water_1ml_3
Start time (UTC),2025-09-02 14:04:18.711009+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.78
Relative humidity (%),51.82
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
0.0,1.5,0.0
0.012724637985229492,1.5,0.0
0.026593446731567383,1.5,0.009
0.043360233306884766,1.5,0.111
0.059729814529418945,1.5,0.6256666666666666
0.07478189468383789,1.49,1.8233333333333333
0.09151172637939453,1.48,2.988
0.10750699043273926,1.47,3.977333333333333
0.12402009963989258,1.46,4.731
0.13968348503112793,1.46,5.159666666666666
0.15729308128356934,1.45,4.875
0.17247509956359863,1.44,4.366
0.18863558769226074,1.44,3.776
0.20317649841308594,1.43,3.287333333333333
0.2202320098876953,1.43,2.8129999999999997
0.2355053424835205,1.43,2.445333333333333
0.2511608600616455,1.42,2.0896666666666666
0.26815104484558105,1.42,1.7866666666666666
0.2838461399078369,1.42,1.5273333333333332
0.2992360591888428,1.42,1.3293333333333333
0.31510090827941895,1.42,1.1386666666666667
0.3311491012573242,1.42,0.9903333333333333
0.3485116958618164,1.42,0.8366666666666667
0.3630330562591553,1.42,0.7256666666666667
0.3794059753417969,1.42,0.6306666666666666
0.3959648609161377,1.42,0.5333333333333333
0.4128093719482422,1.43,0.45766666666666667
0.42719435691833496,1.43,0.40599999999999997
0.4442615509033203,1.43,0.3446666666666667
0.4591104984283447,1.44,0.30266666666666664
0.4766831398010254,1.45,0.264
0.49175071716308594,1.45,0.22933333333333333
0.5076854228973389,1.45,0.19899999999999998
0.5245769023895264,1.45,0.16933333333333334
0.5398218631744385,1.46,0.15066666666666667
0.5550007820129395,1.46,0.131
0.5726521015167236,1.45,0.11433333333333333
0.5887529850006104,1.45,0.09966666666666667
0.6036481857299805,1.46,0.08766666666666667
0.6206021308898926,1.46,0.07666666666666666
0.6358497142791748,1.46,0.065
0.6523394584655762,1.46,0.05466666666666666
0.6674749851226807,1.46,0.04766666666666666
0.683316707611084,1.46,0.041999999999999996
0.7001872062683105,1.45,0.034999999999999996
0.715620756149292,1.46,0.030333333333333334
0.733025074005127,1.46,0.02333333333333333
0.7467687129974365,1.46,0.021333333333333333
0.7645840644836426,1.47,0.017333333333333333
0.7786400318145752,1.47,0.013333333333333332
0.7958047389984131,1.47,0.009
0.8112859725952148,1.47,0.008666666666666666
0.8291916847229004,1.48,0.009
0.842731237411499,1.47,0.006666666666666666
0.8594350814819336,1.48,0.006666666666666666
0.8753445148468018,1.48,0.005
0.8920643329620361,1.48,0.003333333333333333
0.9070606231689453,1.48,0.002
0.9239187240600586,1.49,0.0
0.9404778480529785,1.49,0.0
0.9554667472839355,1.49,0.0
0.9723901748657227,1.49,0.0
0.9880988597869873,1.49,0.0
1.003100872039795,1.49,0.0
1.019505500793457,1.49,0.0
1.036036729812622,1.5,0.0
1.0513436794281006,1.5,0.0
1.0675430297851562,1.5,0.0
1.0835075378417969,1.5,0.0
1.1005783081054688,1.5,0.0
1.1152596473693848,1.5,0.0
