Experiment name,camera_spraytec_PEO_0dot25_1dot5ml_1dot5bar
Start time (UTC),2025-09-08 09:54:53.430890+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.56
Relative humidity (%),66.64
SprayTec lift height (mm),

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.013070106506347656,1.51,0.0
0.0,1.51,0.0
0.014434814453125,1.51,0.0
0.031244277954101562,1.51,0.025333333333333333
0.04656839370727539,1.5,0.12433333333333332
0.06300640106201172,1.5,0.7306666666666667
0.0794224739074707,1.49,2.1546666666666665
0.09436535835266113,1.48,3.1586666666666665
0.11054444313049316,1.47,4.113333333333333
0.12711358070373535,1.46,4.833333333333333
0.14225554466247559,1.46,5.110333333333333
0.15884160995483398,1.45,4.738333333333333
0.1740572452545166,1.44,4.211666666666667
0.19125580787658691,1.44,3.6306666666666665
0.20712924003601074,1.43,3.1086666666666667
0.22487378120422363,1.43,2.655333333333333
0.23944568634033203,1.42,2.306
0.25531888008117676,1.42,1.9703333333333333
0.2705833911895752,1.42,1.7103333333333333
0.28743767738342285,1.42,1.4589999999999999
0.30193424224853516,1.42,1.2676666666666667
0.31888556480407715,1.42,1.083
0.3349442481994629,1.42,0.9253333333333333
0.3513753414154053,1.42,0.7896666666666666
0.36650967597961426,1.42,0.6826666666666666
0.38347434997558594,1.43,0.5843333333333333
0.3986184597015381,1.43,0.5086666666666666
0.41640639305114746,1.43,0.43133333333333335
0.43152856826782227,1.43,0.3743333333333333
0.4466719627380371,1.43,0.32266666666666666
0.4642477035522461,1.43,0.27166666666666667
0.47812724113464355,1.43,0.241
0.4942049980163574,1.44,0.2063333333333333
0.5118112564086914,1.44,0.174
0.5269932746887207,1.44,0.15033333333333332
0.5431563854217529,1.44,0.12966666666666665
0.5595149993896484,1.45,0.11366666666666667
0.5754609107971191,1.45,0.10066666666666667
0.5901410579681396,1.46,0.08433333333333333
0.6063828468322754,1.46,0.073
0.6225004196166992,1.46,0.063
0.6397378444671631,1.45,0.05266666666666667
0.6545407772064209,1.45,0.047
0.6706047058105469,1.46,0.041666666666666664
0.6862735748291016,1.46,0.036
0.7040176391601562,1.46,0.028999999999999998
0.7198841571807861,1.46,0.02333333333333333
0.7347447872161865,1.47,0.019333333333333334
0.7509136199951172,1.47,0.015
0.7665858268737793,1.47,0.012333333333333333
0.7821266651153564,1.48,0.009666666666666667
0.7983925342559814,1.48,0.006666666666666666
0.8148512840270996,1.47,0.006
0.8307106494903564,1.47,0.0036666666666666666
0.8466320037841797,1.48,0.002
0.8637306690216064,1.48,0.0013333333333333333
0.8788657188415527,1.48,0.0003333333333333333
0.8954977989196777,1.48,0.0
0.9106554985046387,1.49,0.0
0.9259066581726074,1.49,0.0
0.9434797763824463,1.49,0.0
0.959775447845459,1.49,0.0
0.9755651950836182,1.49,0.0
0.9911415576934814,1.49,0.0
1.0076472759246826,1.48,0.0
1.0245766639709473,1.48,0.0
1.039489984512329,1.48,0.0
1.0563127994537354,1.49,0.0
1.070948600769043,1.48,0.0
1.086632251739502,1.49,0.0
1.1022210121154785,1.49,0.0
1.1178677082061768,1.48,0.0
