Experiment name,PEO600k_1ml_2
Start time (UTC),2025-09-08 14:13:54.753826+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.58
Relative humidity (%),74.95
SprayTec lift height (mm),346.1

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.010463714599609375,1.0,0.0
0.0005183219909667969,1.51,0.0
0.01626133918762207,1.51,0.0
0.03233075141906738,1.5,0.038
0.047983646392822266,1.5,0.14433333333333334
0.0641016960144043,1.5,0.9243333333333333
0.08046793937683105,1.49,2.195
0.09613227844238281,1.48,3.1866666666666665
0.11365342140197754,1.47,4.215333333333334
0.12853097915649414,1.47,4.887333333333333
0.14399981498718262,1.46,5.040666666666667
0.16016387939453125,1.45,4.640666666666666
0.17625117301940918,1.44,4.120666666666667
0.19301724433898926,1.43,3.4953333333333334
0.20779776573181152,1.43,3.0869999999999997
0.2244105339050293,1.42,2.6356666666666664
0.24034523963928223,1.42,2.251333333333333
0.25523948669433594,1.41,1.9529999999999998
0.272141695022583,1.41,1.6403333333333332
0.2882862091064453,1.42,1.423
0.3052389621734619,1.42,1.2166666666666666
0.3201768398284912,1.41,1.0553333333333332
0.33591580390930176,1.42,0.9006666666666666
0.35173940658569336,1.42,0.7813333333333333
0.3681676387786865,1.42,0.6679999999999999
0.3846280574798584,1.42,0.5716666666666667
0.3992493152618408,1.42,0.497
0.4171009063720703,1.42,0.42033333333333334
0.43120765686035156,1.43,0.36966666666666664
0.4482300281524658,1.43,0.31033333333333335
0.46470022201538086,1.43,0.266
0.48027729988098145,1.44,0.23099999999999998
0.4953329563140869,1.44,0.19899999999999998
0.5124595165252686,1.44,0.16833333333333333
0.5278241634368896,1.44,0.14666666666666667
0.5456507205963135,1.45,0.124
0.5597453117370605,1.45,0.111
0.5754926204681396,1.45,0.09566666666666666
0.592087984085083,1.46,0.08033333333333333
0.6073987483978271,1.45,0.06999999999999999
0.624276876449585,1.46,0.06
0.6406831741333008,1.46,0.052
0.6553852558135986,1.46,0.046
0.6719875335693359,1.46,0.03733333333333333
0.6889729499816895,1.46,0.030333333333333334
0.7047827243804932,1.46,0.024999999999999998
0.720289945602417,1.45,0.02033333333333333
0.7359087467193604,1.46,0.015666666666666666
0.7526025772094727,1.46,0.013666666666666666
0.7678637504577637,1.46,0.009666666666666667
0.7842178344726562,1.47,0.006666666666666666
0.8002007007598877,1.46,0.004
0.8170685768127441,1.47,0.004333333333333333
0.8320760726928711,1.47,0.002333333333333333
0.8476934432983398,1.47,0.0006666666666666666
0.86490797996521,1.47,0.0
0.8800714015960693,1.48,0.0
0.8957726955413818,1.48,0.0
0.9119727611541748,1.48,0.0
0.9290022850036621,1.47,0.0
0.9444444179534912,1.47,0.0
0.960254430770874,1.47,0.0
0.9772436618804932,1.47,0.0
0.9926745891571045,1.47,0.0
1.0083975791931152,1.48,0.0
1.0239272117614746,1.47,0.0
1.0401971340179443,1.48,0.0
1.0554487705230713,1.48,0.0
1.072460651397705,1.48,0.0
1.0876796245574951,1.48,0.0
1.1036546230316162,1.48,0.0
