Experiment name,3bar_all300ms
Start time (UTC),2025-02-06 12:29:32.580521+00:00
Opening duration (ms),300
Time before opening (ms),500
Time after closing (ms),1000

Elapsed time (s),Pressure (bar),Flow rate (L/s)
1738844972.5805216,0.0,0.0
1738844972.5862372,0.0,0.0
1738844972.6039422,0.0,0.0
1738844972.6194236,0.0,0.0
1738844972.6349914,0.0,0.0
1738844972.6516182,0.0,0.0
1738844972.6666856,0.0,0.0
1738844972.6829963,0.0,0.0
1738844972.6990473,0.0,0.0
1738844972.7134452,0.0,0.0
1738844972.7299905,0.0,0.0
1738844972.746791,0.0,0.0
1738844972.7636838,0.0,0.0
1738844972.7786288,0.0,0.0
1738844972.7947404,0.0,0.0
1738844972.8101838,0.0,0.0
1738844972.8281283,0.0,0.0
1738844972.8432138,0.0,0.0
1738844972.8581216,0.0,0.0
1738844972.8747342,0.0,0.0
1738844972.8899379,0.0,0.0
1738844972.9063704,0.0,0.0
1738844972.9236672,0.0,0.0
1738844972.9384513,0.0,0.0
1738844972.9540675,0.0,0.0
1738844972.9705892,0.0,0.0
1738844972.986203,0.0,0.0
1738844973.0023055,0.0,0.0
1738844973.0194213,0.0,0.0
1738844973.0349982,0.0,0.0
1738844973.050679,0.0,0.0
1738844973.0663667,0.0,0.0
1738844973.084117,0.0,0.0
1738844973.0987456,0.0,0.0
1738844973.1157877,0.0,0.0
1738844973.1313565,0.0,0.05266666666666667
1738844973.1466703,0.0,0.24133333333333332
1738844973.1620631,0.0,1.7049999999999998
1738844973.1786678,0.0,3.5483333333333333
1738844973.1958377,0.0,5.260666666666666
1738844973.2116792,0.0,6.452333333333333
1738844973.226382,0.0,7.483
1738844973.2418368,0.0,8.374333333333333
1738844973.2589445,0.0,9.302
1738844973.2746277,0.0,9.947666666666667
1738844973.2912273,0.0,10.562999999999999
1738844973.3067365,0.0,11.087
1738844973.3238604,0.0,11.532666666666666
1738844973.3403165,0.0,11.912333333333333
1738844973.3548515,0.0,12.205
1738844973.3717551,0.0,12.484333333333334
1738844973.3863218,0.0,12.7
1738844973.4030354,0.0,12.905666666666667
1738844973.418902,0.0,13.064333333333332
1738844973.4355865,0.0,13.215666666666666
1738844973.451524,0.0,13.041333333333332
1738844973.466371,0.0,12.062999999999999
1738844973.4832087,0.0,10.584666666666667
1738844973.4988184,0.0,9.121666666666666
1738844973.5152702,0.0,7.938666666666666
1738844973.5305498,0.0,6.793333333333333
1738844973.5455065,0.0,5.903
1738844973.5636106,0.0,4.974
1738844973.5795481,0.0,4.326
1738844973.5954866,0.0,3.7053333333333334
1738844973.6112738,0.0,3.221
1738844973.6261904,0.0,2.804
1738844973.6428816,0.0,2.4063333333333334
1738844973.6585217,0.0,2.0666666666666664
1738844973.674763,0.0,1.7753333333333332
1738844973.6909852,0.0,1.5466666666666666
1738844973.7061803,0.0,1.349
1738844973.7231658,0.0,1.1446666666666667
1738844973.738357,0.0,1.0013333333333334
1738844973.7550507,0.0,0.8656666666666666
1738844973.7705371,0.0,1.2046666666666666
1738844973.7863185,0.0,2.3343333333333334
1738844973.802612,0.0,3.876
1738844973.8187375,0.0,5.327999999999999
1738844973.8331974,0.0,6.351333333333333
1738844973.8516884,0.0,7.548
1738844973.8664951,0.0,8.369
1738844973.8819218,0.0,9.138
1738844973.898127,0.0,9.722
1738844973.9142578,0.0,10.272
1738844973.9313378,0.0,10.731
1738844973.947178,0.0,11.115
1738844973.9628563,0.0,11.422333333333333
1738844973.9785206,0.0,11.641
1738844973.9952598,0.0,11.836333333333332
1738844974.0107121,0.0,11.981
1738844974.0268505,0.0,12.104333333333333
1738844974.0433354,0.0,12.196666666666665
1738844974.0587795,0.0,12.260333333333334
1738844974.075538,0.0,12.306666666666667
1738844974.0902824,0.0,12.084333333333333
1738844974.1063206,0.0,11.039
1738844974.1238198,0.0,9.503
1738844974.1389956,0.0,8.280666666666667
1738844974.154952,0.0,7.184
1738844974.1702306,0.0,6.116
1738844974.186201,0.0,5.288333333333333
1738844974.2035232,0.0,4.428
1738844974.2182324,0.0,3.8249999999999997
1738844974.2344797,0.0,3.2426666666666666
1738844974.2510893,0.0,2.7486666666666664
1738844974.2657118,0.0,2.405
1738844974.282291,0.0,2.0316666666666667
1738844974.2992942,0.0,1.682
1738844974.315011,0.0,1.4396666666666667
1738844974.3319407,0.0,1.2066666666666666
1738844974.3476815,0.0,1.0083333333333333
1738844974.3623812,0.0,0.8523333333333333
1738844974.379324,0.0,0.7036666666666667
1738844974.3951828,0.0,0.5766666666666667
1738844974.4102633,0.0,0.47633333333333333
1738844974.4262474,0.0,0.391
1738844974.4422467,0.0,0.30966666666666665
1738844974.4589283,0.0,0.2373333333333333
1738844974.4742577,0.0,0.18133333333333332
1738844974.4901774,0.0,0.12966666666666665
1738844974.506512,0.0,0.08533333333333333
1738844974.5236342,0.0,0.04466666666666667
1738844974.538136,0.0,0.013333333333333332
1738844974.5548182,0.0,0.0
1738844974.5716903,0.0,0.0
1738844974.588139,0.0,0.0
1738844974.601963,0.0,0.0
1738844974.6183085,0.0,0.0
1738844974.6351945,0.0,0.0
1738844974.6504314,0.0,0.0
1738844974.666944,0.0,0.0
1738844974.6834855,0.0,0.0
1738844974.6991777,0.0,0.0
1738844974.7146728,0.0,0.0
1738844974.7301552,0.0,0.0
1738844974.7463799,0.0,0.0
1738844974.762708,0.0,0.0
1738844974.7788382,0.0,0.0
1738844974.7949674,0.0,0.0
1738844974.8108675,0.0,0.0
1738844974.8269796,0.0,0.0
1738844974.843059,0.0,0.0
1738844974.858631,0.0,0.0
1738844974.8749933,0.0,0.0
1738844974.8904862,0.0,0.0
1738844974.9071274,0.0,0.0
1738844974.9217293,0.0,0.0
1738844974.9388037,0.0,0.0
1738844974.9555855,0.0,0.0
1738844974.971508,0.0,0.0
1738844974.9885375,0.0,0.0
1738844975.002301,0.0,0.0
1738844975.018638,0.0,0.0
1738844975.0344617,0.0,0.0
1738844975.0503788,0.0,0.0
1738844975.068704,0.0,0.0
1738844975.083022,0.0,0.0
