Experiment name,100_50_50_3bar
Start time (UTC),2025-02-06 12:31:07.738837+00:00
Opening duration (ms),100
Time before opening (ms),500
Time after closing (ms),1000

Elapsed time (s),Pressure (bar),Flow rate (L/s)
1738845067.7395573,0.0,0.0
1738845067.7460854,0.0,0.0
1738845067.7625475,0.0,0.0
1738845067.7786753,0.0,0.0
1738845067.795548,0.0,0.0
1738845067.8106937,0.0,0.0
1738845067.8264766,0.0,0.0
1738845067.8421578,0.0,0.0
1738845067.8584077,0.0,0.0
1738845067.8750975,0.0,0.0
1738845067.8902547,0.0,0.0
1738845067.9063208,0.0,0.0
1738845067.9231796,0.0,0.0
1738845067.9380622,0.0,0.0
1738845067.9548805,0.0,0.0
1738845067.9708123,0.0,0.0
1738845067.9873662,0.0,0.0
1738845068.0024638,0.0,0.0
1738845068.0187604,0.0,0.0
1738845068.0346136,0.0,0.0
1738845068.0499842,0.0,0.0
1738845068.0662923,0.0,0.0
1738845068.083397,0.0,0.0
1738845068.0988188,0.0,0.0
1738845068.1145868,0.0,0.0
1738845068.130669,0.0,0.0
1738845068.1474364,0.0,0.0
1738845068.1633728,0.0,0.0
1738845068.1802464,0.0,0.0
1738845068.1950364,0.0,0.0
1738845068.210253,0.0,0.0
1738845068.226169,0.0,0.0
1738845068.2420638,0.0,0.0
1738845068.2587616,0.0,0.0
1738845068.2740204,0.0,0.0
1738845068.2905116,0.0,0.03866666666666667
1738845068.3075652,0.0,0.29
1738845068.3234649,0.0,1.8826666666666667
1738845068.3392446,0.0,3.6996666666666664
1738845068.3554277,0.0,5.102333333333333
1738845068.3703012,0.0,6.315333333333333
1738845068.3858743,0.0,7.4719999999999995
1738845068.4030747,0.0,8.456333333333333
1738845068.4191952,0.0,8.852666666666666
1738845068.4344058,0.0,8.282666666666666
1738845068.4505868,0.0,7.287999999999999
1738845068.4660635,0.0,6.379666666666666
1738845068.4842908,0.0,5.392666666666666
1738845068.4978902,0.0,5.182333333333333
1738845068.5148633,0.0,6.065333333333333
1738845068.5309513,0.0,7.121333333333333
1738845068.546212,0.0,8.061333333333334
1738845068.563877,0.0,9.001999999999999
1738845068.5786285,0.0,8.947333333333333
1738845068.5950503,0.0,8.102
1738845068.6101456,0.0,7.155333333333333
1738845068.6273406,0.0,6.057666666666666
1738845068.6427486,0.0,5.270666666666666
1738845068.6587176,0.0,4.5809999999999995
1738845068.6744733,0.0,3.916333333333333
1738845068.691583,0.0,3.3496666666666663
1738845068.7056987,0.0,2.912333333333333
1738845068.7237523,0.0,2.4553333333333334
1738845068.7376797,0.0,2.1686666666666667
1738845068.7545214,0.0,1.8599999999999999
1738845068.7707553,0.0,1.595
1738845068.7862382,0.0,1.3876666666666666
1738845068.8034995,0.0,1.1736666666666666
1738845068.8185287,0.0,1.0236666666666667
1738845068.8353736,0.0,0.8806666666666666
1738845068.8508306,0.0,0.7583333333333333
1738845068.866905,0.0,0.662
1738845068.8833983,0.0,0.5683333333333334
1738845068.899192,0.0,0.49
1738845068.9149039,0.0,0.42866666666666664
1738845068.9309056,0.0,0.369
1738845068.9470036,0.0,0.3213333333333333
1738845068.9622452,0.0,0.2773333333333333
1738845068.9785438,0.0,0.24133333333333332
1738845068.9948711,0.0,0.20766666666666667
1738845069.0103452,0.0,0.177
1738845069.026125,0.0,0.15433333333333332
1738845069.0417905,0.0,0.13266666666666665
1738845069.0598323,0.0,0.11233333333333333
1738845069.0737805,0.0,0.09899999999999999
1738845069.0905654,0.0,0.082
1738845069.107423,0.0,0.06733333333333333
1738845069.1227477,0.0,0.05633333333333333
1738845069.13851,0.0,0.04566666666666667
1738845069.1543248,0.0,0.03666666666666667
1738845069.1698856,0.0,0.029333333333333333
1738845069.1872458,0.0,0.019666666666666666
1738845069.2023926,0.0,0.013
1738845069.2197165,0.0,0.005666666666666666
1738845069.234322,0.0,0.002
1738845069.250723,0.0,0.0
1738845069.266835,0.0,0.0
1738845069.2817285,0.0,0.0
1738845069.2987623,0.0,0.0
1738845069.31395,0.0,0.0
1738845069.3301697,0.0,0.0
1738845069.3461113,0.0,0.0
1738845069.361877,0.0,0.0
1738845069.3783832,0.0,0.0
1738845069.394494,0.0,0.0
1738845069.4101353,0.0,0.0
1738845069.4272702,0.0,0.0
1738845069.4427557,0.0,0.0
1738845069.4597485,0.0,0.0
1738845069.474986,0.0,0.0
1738845069.4908738,0.0,0.0
1738845069.5061028,0.0,0.0
1738845069.5231452,0.0,0.0
1738845069.537338,0.0,0.0
1738845069.555108,0.0,0.0
1738845069.570438,0.0,0.0
