Experiment name,100_100_10
Start time (UTC),2025-02-06 12:33:16.575455+00:00
Opening duration (ms),100
Time before opening (ms),500
Time after closing (ms),1000

Elapsed time (s),Pressure (bar),Flow rate (L/s)
1738845196.575455,0.0,0.0
1738845196.5838442,0.0,0.0
1738845196.5990717,0.0,0.0
1738845196.614778,0.0,0.0
1738845196.632394,0.0,0.0
1738845196.6479628,0.0,0.0
1738845196.6622021,0.0,0.0
1738845196.679031,0.0,0.0
1738845196.694076,0.0,0.0
1738845196.7106829,0.0,0.0
1738845196.727787,0.0,0.0
1738845196.7428067,0.0,0.0
1738845196.7588992,0.0,0.0
1738845196.7751522,0.0,0.0
1738845196.791338,0.0,0.0
1738845196.8072548,0.0,0.0
1738845196.8238363,0.0,0.0
1738845196.8391597,0.0,0.0
1738845196.854318,0.0,0.0
1738845196.8714364,0.0,0.0
1738845196.8868022,0.0,0.0
1738845196.9036987,0.0,0.0
1738845196.918907,0.0,0.0
1738845196.9349434,0.0,0.0
1738845196.9505198,0.0,0.0
1738845196.96613,0.0,0.0
1738845196.9840019,0.0,0.0
1738845196.9999447,0.0,0.0
1738845197.0150554,0.0,0.0
1738845197.0307267,0.0,0.0
1738845197.0469697,0.0,0.0
1738845197.0623517,0.0,0.0
1738845197.0783796,0.0,0.0
1738845197.0949724,0.0,0.0
1738845197.1105242,0.0,0.0
1738845197.1268644,0.0,0.03133333333333333
1738845197.1434512,0.0,0.178
1738845197.1595182,0.0,1.3546666666666667
1738845197.17582,0.0,2.749
1738845197.1918535,0.0,4.094666666666667
1738845197.2063653,0.0,5.131
1738845197.2228658,0.0,6.110333333333333
1738845197.2388222,0.0,6.919666666666666
1738845197.2555625,0.0,7.122999999999999
1738845197.2717938,0.0,6.621666666666666
1738845197.2874296,0.0,5.814333333333333
1738845197.301974,0.0,5.088333333333333
1738845197.31823,0.0,4.429
1738845197.3356266,0.0,3.7326666666666664
1738845197.3504207,0.0,3.2426666666666666
1738845197.367892,0.0,2.778
1738845197.3829272,0.0,2.7623333333333333
1738845197.399677,0.0,3.5316666666666667
1738845197.414134,0.0,4.296333333333333
1738845197.4299634,0.0,4.382333333333333
1738845197.4469156,0.0,3.98
1738845197.4625716,0.0,3.4666666666666663
1738845197.4790337,0.0,2.9819999999999998
1738845197.4945483,0.0,2.5986666666666665
1738845197.5116873,0.0,2.2263333333333333
1738845197.5259786,0.0,1.9356666666666666
1738845197.5437162,0.0,1.6593333333333333
1738845197.558946,0.0,1.4233333333333333
1738845197.5746167,0.0,1.2389999999999999
1738845197.590846,0.0,1.063
1738845197.6064634,0.0,0.9266666666666666
1738845197.6226683,0.0,0.7976666666666666
1738845197.6391335,0.0,0.6856666666666666
1738845197.6556065,0.0,0.5916666666666667
1738845197.6714408,0.0,0.5103333333333333
1738845197.6872485,0.0,0.44666666666666666
1738845197.7030277,0.0,0.3883333333333333
1738845197.7184074,0.0,0.33899999999999997
1738845197.735413,0.0,0.29333333333333333
1738845197.7509282,0.0,0.25366666666666665
1738845197.7669914,0.0,0.22166666666666665
1738845197.7837603,0.0,0.19266666666666665
1738845197.799619,0.0,0.16466666666666666
1738845197.8139224,0.0,0.144
1738845197.8302028,0.0,0.127
1738845197.8480778,0.0,0.111
1738845197.8621397,0.0,0.09833333333333333
1738845197.8796456,0.0,0.08333333333333333
1738845197.8946724,0.0,0.071
1738845197.9112802,0.0,0.061
1738845197.9268463,0.0,0.05233333333333333
1738845197.9442525,0.0,0.044
1738845197.9598403,0.0,0.035666666666666666
1738845197.9746077,0.0,0.030333333333333334
1738845197.9913862,0.0,0.024666666666666667
1738845198.006751,0.0,0.017666666666666667
1738845198.0220282,0.0,0.013
1738845198.038231,0.0,0.01
1738845198.0540311,0.0,0.007666666666666666
1738845198.0719414,0.0,0.005
1738845198.0869272,0.0,0.002
1738845198.1026495,0.0,0.0
1738845198.119476,0.0,0.0
1738845198.1354315,0.0,0.0
1738845198.151772,0.0,0.0
1738845198.1669068,0.0,0.0
1738845198.1832156,0.0,0.0
1738845198.1995702,0.0,0.0
1738845198.2154946,0.0,0.0
1738845198.2317245,0.0,0.0
1738845198.2467482,0.0,0.0
1738845198.2622728,0.0,0.0
1738845198.2780814,0.0,0.0
1738845198.2943454,0.0,0.0
1738845198.3112547,0.0,0.0
1738845198.3283372,0.0,0.0
1738845198.3433979,0.0,0.0
1738845198.3591852,0.0,0.0
1738845198.374734,0.0,0.0
1738845198.3906393,0.0,0.0
1738845198.4070976,0.0,0.0
