Experiment name,emptythetank
Start time (UTC),2025-05-15 11:22:18.917758+00:00
Opening duration (ms),2000
Time before opening (ms),500
Time after closing (ms),1000
Ambient temperature (°C),22.09
Relative humidity (%),34.34
SprayTec lift height (mm),430.2

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.5198822021484375,2.0,0.0
-0.5124425888061523,48.0,0.0
-0.49667811393737793,2.48,0.0
-0.48151183128356934,2.48,0.0
-0.46462368965148926,2.48,0.0
-0.4486510753631592,2.48,0.0
-0.4337480068206787,2.48,0.0
-0.417144775390625,2.49,0.0
-0.4011104106903076,2.49,0.0
-0.38464879989624023,2.49,0.0
-0.36911964416503906,2.49,0.0
-0.3517470359802246,2.49,0.0
-0.33576512336730957,2.49,0.0
-0.32060670852661133,2.49,0.0
-0.30413222312927246,2.49,0.0
-0.2889211177825928,2.49,0.0
-0.27245140075683594,2.49,0.0
-0.25702643394470215,2.49,0.0
-0.24170422554016113,2.49,0.0
-0.2249774932861328,2.49,0.0
-0.2084665298461914,2.49,0.0
-0.19218230247497559,2.5,0.0
-0.1765444278717041,2.49,0.0
-0.16096210479736328,2.5,0.0
-0.1438751220703125,2.49,0.0
-0.12902498245239258,2.49,0.0
-0.11371970176696777,2.49,0.0
-0.09782648086547852,2.49,0.0
-0.08030867576599121,2.49,0.0
-0.0656273365020752,2.49,0.0
-0.048146724700927734,2.49,0.0
-0.03378009796142578,2.49,0.0
-0.017020225524902344,2.5,0.0
0.0,2.5,0.0
0.013942956924438477,2.5,0.0
0.03171968460083008,2.5,0.043
0.04688882827758789,2.49,0.19566666666666666
0.06365346908569336,2.49,1.5919999999999999
0.07941913604736328,2.48,3.222
0.09505391120910645,2.48,4.7989999999999995
0.11040186882019043,2.48,6.013
0.12727117538452148,2.48,7.161333333333333
0.14333081245422363,2.47,8.126666666666667
0.15942931175231934,2.47,8.940666666666667
0.17569565773010254,2.46,9.622333333333334
0.19236159324645996,2.45,10.190999999999999
0.2071547508239746,2.44,10.577
0.2234787940979004,2.42,10.983666666666666
0.23838233947753906,2.4,11.283999999999999
0.2546427249908447,2.39,11.559333333333333
0.27094340324401855,2.36,11.782333333333334
0.2868170738220215,2.34,11.958
0.30285215377807617,2.31,12.081999999999999
0.31980013847351074,2.28,12.195333333333332
0.335681676864624,2.25,12.260333333333334
0.35137081146240234,2.22,12.311
0.3668050765991211,2.18,12.337
0.38341188430786133,2.16,12.344
0.39985203742980957,2.12,12.339666666666666
0.4152960777282715,2.09,12.318666666666667
0.4309115409851074,2.07,12.283666666666667
0.44658780097961426,2.04,12.243
0.4633183479309082,2.02,12.188333333333333
0.4787895679473877,1.98,12.136666666666667
0.4952394962310791,1.96,12.077
0.5118639469146729,1.94,12.014333333333333
0.5287277698516846,1.91,11.933
0.5431537628173828,1.89,11.864666666666666
0.5599641799926758,1.87,11.774666666666667
0.5755352973937988,1.85,11.685333333333332
0.5908498764038086,1.82,11.613999999999999
0.606633186340332,1.8,11.542666666666666
0.6230599880218506,1.78,11.477333333333332
0.63885498046875,1.75,11.419
0.6545746326446533,1.73,11.351333333333333
0.6714670658111572,1.71,11.289333333333333
0.6869847774505615,1.68,11.231333333333334
0.7026963233947754,1.66,11.162666666666667
0.7198867797851562,1.64,11.091
0.7364456653594971,1.62,11.021666666666667
0.750490665435791,1.6,10.963333333333333
0.7677407264709473,1.59,10.881
0.7829828262329102,1.57,10.811333333333334
0.7981376647949219,1.55,10.737333333333334
0.8158383369445801,1.53,10.642999999999999
0.8306524753570557,1.51,10.566333333333333
0.8478760719299316,1.49,10.478
0.8626811504364014,1.48,10.399666666666667
0.8796811103820801,1.46,10.314333333333334
0.8950097560882568,1.44,10.224
0.9109141826629639,1.43,10.142
0.926811933517456,1.41,10.053666666666667
0.9422030448913574,1.39,9.973333333333333
0.9598369598388672,1.38,9.882333333333333
0.9759376049041748,1.36,9.806333333333333
0.9914796352386475,1.34,9.726666666666667
1.006425142288208,1.33,9.653666666666666
1.023120641708374,1.32,9.573666666666666
1.0401585102081299,1.31,9.496333333333332
1.0554709434509277,1.28,9.420666666666666
1.0712182521820068,1.26,9.352333333333332
1.0868804454803467,1.25,9.287666666666667
1.1021487712860107,1.24,9.218333333333334
1.1193101406097412,1.22,9.148
1.1361324787139893,1.21,9.082666666666666
1.1503653526306152,1.2,9.035
1.1675341129302979,1.19,8.990666666666666
1.1824078559875488,1.17,8.949666666666666
1.200056791305542,1.16,8.897666666666666
1.2144997119903564,1.14,8.856666666666666
1.2311897277832031,1.13,8.796
1.2473573684692383,1.12,8.732
1.2637059688568115,1.11,8.654666666666666
1.2784953117370605,1.1,8.587
1.2947485446929932,1.08,8.515
1.311415195465088,1.07,8.443
1.3277904987335205,1.06,8.373
1.343388557434082,1.05,8.313333333333333
1.3594777584075928,1.04,8.253333333333334
1.3761799335479736,1.03,8.190999999999999
1.3911793231964111,1.01,8.132666666666667
1.4067871570587158,1.0,8.072
1.4230496883392334,0.99,8.002666666666666
1.43971586227417,0.98,7.936
1.4553399085998535,0.97,7.872333333333333
1.4706096649169922,0.96,7.8149999999999995
1.4869160652160645,0.95,7.754
1.5022695064544678,0.94,7.7
1.5193209648132324,0.94,7.641333333333333
1.534843921661377,0.92,7.580333333333333
1.5513606071472168,0.91,7.5169999999999995
1.5686652660369873,0.9,7.455333333333333
1.5829524993896484,0.89,7.401333333333333
1.5987887382507324,0.88,7.348
1.6143717765808105,0.88,7.288666666666667
1.630634069442749,0.87,7.2299999999999995
1.6480076313018799,0.86,7.171666666666667
1.6626098155975342,0.85,7.124333333333333
1.6792933940887451,0.84,7.071
1.6947836875915527,0.83,7.017333333333333
1.7099063396453857,0.83,6.9639999999999995
1.726616621017456,0.82,6.904
1.743744134902954,0.81,6.8486666666666665
1.7588841915130615,0.8,6.796333333333333
1.774975061416626,0.79,6.739333333333333
1.791508674621582,0.78,6.687333333333333
1.806870937347412,0.78,6.639333333333333
1.823301076889038,0.77,6.587
1.8381168842315674,0.75,6.549666666666666
1.8544764518737793,0.74,6.51
1.8706462383270264,0.74,6.476999999999999
1.8870892524719238,0.73,6.438666666666666
1.9027140140533447,0.72,6.399333333333333
1.91865873336792,0.72,6.358666666666666
1.935281753540039,0.71,6.301333333333333
1.950925350189209,0.7,6.237333333333333
1.9655721187591553,0.7,6.1803333333333335
1.9831576347351074,0.69,6.1193333333333335
1.9991569519042969,0.69,6.0616666666666665
2.014540433883667,0.68,6.009333333333333
2.0308430194854736,0.67,5.955
2.04801607131958,0.67,5.869
2.0639214515686035,0.67,5.433333333333334
2.078639268875122,0.66,4.804666666666667
2.094034194946289,0.66,4.146333333333333
2.111417770385742,0.66,3.407
2.127805709838867,0.65,2.8223333333333334
2.142052173614502,0.65,2.4153333333333333
2.1599788665771484,0.65,1.9336666666666666
2.17458176612854,0.65,1.5953333333333333
2.1907548904418945,0.65,1.271
2.2071542739868164,0.65,1.0236666666666667
2.22261381149292,0.65,0.7859999999999999
2.238572120666504,0.65,0.5996666666666667
2.255842447280884,0.66,0.41133333333333333
2.272197961807251,0.66,0.264
2.2861170768737793,0.66,0.163
2.302865743637085,0.66,0.05233333333333333
2.319769859313965,0.67,0.0
2.3344364166259766,0.67,0.0
2.351508617401123,0.67,0.0
2.3667685985565186,0.67,0.0
2.381784439086914,0.68,0.0
2.399505853652954,0.68,0.0
2.415405511856079,0.68,0.0
2.430860757827759,0.69,0.0
2.447373151779175,0.69,0.0
2.4627859592437744,0.69,0.0
2.479257106781006,0.7,0.0
2.4957051277160645,0.71,0.0
2.5113296508789062,0.71,0.0
2.5266482830047607,0.72,0.0
2.5433943271636963,0.72,0.0
2.559455633163452,0.73,0.0
2.575493574142456,0.73,0.0
2.5914928913116455,0.74,0.0
2.606708526611328,0.74,0.0
2.622098207473755,0.75,0.0
2.639237403869629,0.75,0.0
2.6545214653015137,0.76,0.0
2.671811580657959,0.76,0.0
2.687337875366211,0.77,0.0
2.7018251419067383,0.77,0.0
2.7204763889312744,0.77,0.0
2.735358715057373,0.78,0.0
2.75148606300354,0.78,0.0
2.766234874725342,0.78,0.0
2.7824556827545166,0.79,0.0
2.7986972332000732,0.79,0.0
2.815150022506714,0.79,0.0
2.830822467803955,0.8,0.0
2.846632480621338,0.8,0.0
2.8622148036956787,0.81,0.0
2.8792917728424072,0.8,0.0
2.895616054534912,0.81,0.0
2.910924196243286,0.82,0.0
2.9269680976867676,0.82,0.0
2.94290828704834,0.83,0.0
2.959219217300415,0.83,0.0
2.9744179248809814,0.84,0.0
2.9911885261535645,0.83,0.0
3.0075185298919678,0.84,0.0
3.0231540203094482,0.85,0.0
3.039613723754883,0.85,0.0
