Experiment name,0dot75bar1percent_topview
Start time (UTC),2025-07-04 14:10:34.355356+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.93
Relative humidity (%),43.11
SprayTec lift height (mm),nan

Elapsed time (s),Pressure (bar),Flow rate (L/s)
0.0,0.72,0.0
0.009234189987182617,0.72,0.0
0.025385141372680664,0.71,0.0
0.04116463661193848,0.72,0.048
0.055881500244140625,0.71,0.12666666666666665
0.07184505462646484,0.7,0.6759999999999999
0.08874201774597168,0.69,1.4333333333333333
0.10503983497619629,0.68,2.078
0.12014579772949219,0.67,2.568
0.13833975791931152,0.67,2.9913333333333334
0.1521594524383545,0.66,2.969333333333333
0.16919684410095215,0.65,2.6563333333333334
0.18534231185913086,0.64,2.3073333333333332
0.20014715194702148,0.63,2.014
0.21830105781555176,0.62,1.698
0.2339470386505127,0.61,1.474
0.2485520839691162,0.6,1.2806666666666666
0.26470065116882324,0.6,1.0943333333333334
0.2808353900909424,0.59,0.9523333333333333
0.2963089942932129,0.59,0.8133333333333334
0.31288862228393555,0.59,0.6983333333333334
0.3291893005371094,0.58,0.6086666666666667
0.3458902835845947,0.58,0.5133333333333333
0.3625819683074951,0.58,0.4413333333333333
0.37612152099609375,0.58,0.39066666666666666
0.39275693893432617,0.58,0.33699999999999997
0.40894150733947754,0.58,0.29
0.42602992057800293,0.58,0.24933333333333332
0.4402616024017334,0.58,0.21733333333333332
0.4566960334777832,0.58,0.18666666666666665
0.4725966453552246,0.57,0.16333333333333333
0.4899442195892334,0.58,0.13766666666666666
0.5044379234313965,0.58,0.12333333333333332
0.5204496383666992,0.58,0.10366666666666666
0.5360462665557861,0.58,0.09133333333333334
0.5523390769958496,0.58,0.08133333333333333
0.5685181617736816,0.58,0.06866666666666667
0.5851349830627441,0.58,0.05933333333333333
0.6000862121582031,0.57,0.049999999999999996
0.6182780265808105,0.57,0.043333333333333335
0.6327190399169922,0.57,0.038
0.6482696533203125,0.57,0.03333333333333333
0.665311336517334,0.57,0.029333333333333333
0.6798202991485596,0.58,0.02733333333333333
0.6969809532165527,0.58,0.023666666666666666
0.7124335765838623,0.57,0.019666666666666666
0.7284724712371826,0.58,0.018
0.7455575466156006,0.58,0.015
0.7602896690368652,0.59,0.011333333333333332
0.7765369415283203,0.59,0.009333333333333332
0.7930810451507568,0.59,0.007333333333333333
0.8094015121459961,0.59,0.005666666666666666
0.8260807991027832,0.59,0.0036666666666666666
0.8415524959564209,0.59,0.002333333333333333
0.8577239513397217,0.59,0.003
0.8720805644989014,0.58,0.003
0.8885831832885742,0.59,0.0016666666666666666
0.9047186374664307,0.59,0.0003333333333333333
0.9208359718322754,0.59,0.0
0.9374711513519287,0.59,0.0
0.953157901763916,0.59,0.0
0.968498945236206,0.6,0.0
0.9842076301574707,0.59,0.0
1.0026633739471436,0.6,0.0
1.0163233280181885,0.59,0.0
1.033599853515625,0.58,0.0
1.0484669208526611,0.58,0.0
1.063797950744629,0.59,0.0
1.0805132389068604,0.59,0.0
1.0976238250732422,0.59,0.0
1.1136877536773682,0.59,0.0
