Experiment name,1barclosedtank
Start time (UTC),2025-07-23 15:11:27.414591+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.96
Relative humidity (%),76.29
SprayTec lift height (mm),346.1

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.009456872940063477,0.0,0.0
0.0005233287811279297,0.94,0.0
0.016301393508911133,0.94,0.0
0.032251596450805664,0.94,0.021333333333333333
0.04766416549682617,0.94,0.10866666666666666
0.06439518928527832,0.93,0.533
0.07883834838867188,0.93,1.421
0.09500265121459961,0.92,2.1959999999999997
0.11169600486755371,0.91,2.9276666666666666
0.1275649070739746,0.9,3.5356666666666667
0.14522051811218262,0.9,3.776
0.15955114364624023,0.89,3.5709999999999997
0.17562174797058105,0.88,3.1523333333333334
0.1909492015838623,0.88,2.7636666666666665
0.20780205726623535,0.87,2.366
0.22357797622680664,0.86,2.022
0.23993492126464844,0.86,1.7293333333333332
0.2563323974609375,0.85,1.476
0.27176642417907715,0.85,1.2803333333333333
0.28818345069885254,0.85,1.097
0.30293989181518555,0.84,0.952
0.32068634033203125,0.84,0.8016666666666666
0.33719468116760254,0.84,0.694
0.3534250259399414,0.84,0.594
0.36689162254333496,0.84,0.5243333333333333
0.3841259479522705,0.84,0.4403333333333333
0.39846253395080566,0.84,0.39066666666666666
0.4155087471008301,0.84,0.33066666666666666
0.4321606159210205,0.84,0.283
0.44757080078125,0.84,0.24433333333333332
0.4631001949310303,0.84,0.21033333333333332
0.4788553714752197,0.84,0.18566666666666667
0.49589061737060547,0.83,0.15766666666666665
0.5117526054382324,0.83,0.133
0.5268425941467285,0.83,0.11533333333333333
0.5435149669647217,0.83,0.09766666666666667
0.5591745376586914,0.83,0.08533333333333333
0.5757930278778076,0.83,0.07566666666666666
0.5916507244110107,0.83,0.06266666666666666
0.6084728240966797,0.83,0.05466666666666666
0.6234219074249268,0.83,0.04733333333333333
0.6390211582183838,0.81,0.04066666666666666
0.656315803527832,0.82,0.031
0.6718957424163818,0.82,0.028333333333333332
0.6890823841094971,0.82,0.022
0.7046043872833252,0.82,0.017666666666666667
0.719294548034668,0.82,0.015
0.7350571155548096,0.82,0.012666666666666666
0.7516446113586426,0.82,0.009333333333333332
0.7682390213012695,0.83,0.008666666666666666
0.7843136787414551,0.83,0.006333333333333333
0.799748420715332,0.82,0.005
0.8158166408538818,0.82,0.005333333333333333
0.8312370777130127,0.82,0.004
0.8476476669311523,0.83,0.003
0.8656175136566162,0.83,0.0003333333333333333
0.8792474269866943,0.83,0.0
0.8965930938720703,0.83,0.0
0.9112789630889893,0.83,0.0
0.9284577369689941,0.83,0.0
0.9453995227813721,0.82,0.0
0.9609799385070801,0.82,0.0
0.9773123264312744,0.82,0.0
0.9922564029693604,0.82,0.0
1.0073516368865967,0.82,0.0
1.0246825218200684,0.82,0.0
1.039719581604004,0.82,0.0
1.0567946434020996,0.82,0.0
1.071075677871704,0.82,0.0
1.0883314609527588,0.83,0.0
1.1045582294464111,0.83,0.0
1.120328664779663,0.83,0.0
