Experiment name,0dot25_80ms_1dot5bar
Start time (UTC),2025-07-29 10:41:25.696888+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.95
Relative humidity (%),53.75
SprayTec lift height (mm),346.1

Elapsed time (s),Pressure (bar),Flow rate (L/s)
0.0,1.51,0.0
0.013718605041503906,1.51,0.0
0.03111124038696289,1.51,0.029666666666666664
0.04798412322998047,1.51,0.14266666666666666
0.06272530555725098,1.5,0.7503333333333333
0.07821893692016602,1.49,1.9003333333333332
0.09618449211120605,1.48,3.1176666666666666
0.10988354682922363,1.48,3.959
0.12616920471191406,1.46,4.672666666666666
0.14186406135559082,1.46,4.980333333333333
0.15865135192871094,1.45,4.6353333333333335
0.17420268058776855,1.45,4.128
0.19027376174926758,1.44,3.559333333333333
0.20749378204345703,1.44,3.0016666666666665
0.22330713272094727,1.43,2.6086666666666667
0.23812055587768555,1.43,2.2656666666666667
0.2551453113555908,1.43,1.934
0.27010488510131836,1.43,1.6793333333333333
0.2861199378967285,1.43,1.4353333333333333
0.3023684024810791,1.43,1.2256666666666667
0.3172764778137207,1.43,1.0666666666666667
0.33466005325317383,1.42,0.9136666666666666
0.3492250442504883,1.43,0.7933333333333333
0.3667159080505371,1.43,0.6683333333333333
0.3822484016418457,1.43,0.5816666666666667
0.39870333671569824,1.42,0.498
0.4138026237487793,1.43,0.435
0.43027400970458984,1.43,0.3743333333333333
0.4460306167602539,1.43,0.328
0.4620840549468994,1.43,0.282
0.47783470153808594,1.43,0.24233333333333332
0.4935488700866699,1.43,0.21266666666666667
0.5100336074829102,1.44,0.184
0.5257365703582764,1.44,0.15933333333333333
0.5433690547943115,1.44,0.13666666666666666
0.5593445301055908,1.45,0.11933333333333333
0.5735228061676025,1.45,0.10433333333333333
0.5893700122833252,1.46,0.09033333333333333
0.6075706481933594,1.46,0.076
0.6217532157897949,1.46,0.066
0.6389834880828857,1.46,0.05733333333333333
0.6539947986602783,1.47,0.048999999999999995
0.6697299480438232,1.47,0.042333333333333334
0.6868829727172852,1.47,0.034999999999999996
0.7022812366485596,1.47,0.03
0.7181375026702881,1.47,0.02733333333333333
0.7345173358917236,1.47,0.023
0.7496657371520996,1.47,0.018666666666666665
0.7674357891082764,1.47,0.016
0.7831673622131348,1.48,0.015
0.7977328300476074,1.48,0.011666666666666665
0.8139603137969971,1.48,0.009666666666666667
0.8305160999298096,1.49,0.006666666666666666
0.8453676700592041,1.48,0.005
0.8621118068695068,1.49,0.004666666666666666
0.8782680034637451,1.49,0.002
0.895174503326416,1.48,0.0006666666666666666
0.9095206260681152,1.49,0.0006666666666666666
0.9267971515655518,1.48,0.0
0.9425091743469238,1.49,0.0
0.9579861164093018,1.48,0.0
0.9733264446258545,1.49,0.0
0.9893879890441895,1.49,0.0
1.0068774223327637,1.49,0.0
1.0221281051635742,1.49,0.0
1.037306547164917,1.49,0.0
1.0535860061645508,1.49,0.0
1.0699284076690674,1.49,0.0
1.0854604244232178,1.49,0.0
1.1031527519226074,1.49,0.0
1.1174836158752441,1.49,0.0
