Experiment name,1dot5bar_0dot25PEO_1dot5ml_2
Start time (UTC),2025-08-01 16:07:13.337323+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),22.30
Relative humidity (%),61.48
SprayTec lift height (mm),346.1

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.015618562698364258,1.49,0.0
0.0,1.49,0.0
0.016886472702026367,1.49,0.0
0.031081438064575195,1.49,0.029333333333333333
0.048223257064819336,1.49,0.145
0.06282854080200195,1.49,0.8123333333333334
0.07925271987915039,1.48,2.1056666666666666
0.09556794166564941,1.47,3.222
0.11140298843383789,1.46,4.082333333333334
0.12774229049682617,1.46,4.872333333333333
0.1435403823852539,1.46,5.090333333333334
0.15852117538452148,1.45,4.743666666666667
0.1743335723876953,1.44,4.2236666666666665
0.19072914123535156,1.44,3.641
0.2073686122894287,1.43,3.1203333333333334
0.22269988059997559,1.43,2.711
0.23888182640075684,1.42,2.316333333333333
0.25415897369384766,1.42,2.0096666666666665
0.2709083557128906,1.42,1.718
0.28673624992370605,1.42,1.4676666666666667
0.3022139072418213,1.42,1.2743333333333333
0.31891560554504395,1.42,1.0893333333333333
0.33571696281433105,1.42,0.9336666666666666
0.3512082099914551,1.42,0.8006666666666666
0.3673737049102783,1.43,0.6849999999999999
0.38339686393737793,1.43,0.5956666666666667
0.39926981925964355,1.43,0.5096666666666666
0.41565418243408203,1.43,0.438
0.4307687282562256,1.43,0.3833333333333333
0.44806623458862305,1.44,0.3273333333333333
0.46344804763793945,1.44,0.2783333333333333
0.47913098335266113,1.45,0.24533333333333332
0.4960787296295166,1.45,0.21133333333333332
0.5121195316314697,1.45,0.18033333333333332
0.5283832550048828,1.46,0.155
0.5428061485290527,1.46,0.13833333333333334
0.5587775707244873,1.46,0.121
0.5749208927154541,1.47,0.103
0.5905647277832031,1.47,0.08966666666666666
0.6073553562164307,1.47,0.07733333333333334
0.6235532760620117,1.47,0.067
0.6396923065185547,1.47,0.056666666666666664
0.6549949645996094,1.47,0.048999999999999995
0.6706709861755371,1.47,0.042333333333333334
0.6875100135803223,1.48,0.036
0.7031817436218262,1.48,0.03133333333333333
0.7191698551177979,1.48,0.026666666666666665
0.7353570461273193,1.49,0.024333333333333332
0.7511172294616699,1.48,0.02
0.7672913074493408,1.48,0.014666666666666666
0.7837016582489014,1.49,0.010666666666666666
0.7988576889038086,1.49,0.009666666666666667
0.8157474994659424,1.49,0.007
0.8307316303253174,1.49,0.004666666666666666
0.8472845554351807,1.49,0.005333333333333333
0.8626265525817871,1.49,0.0036666666666666666
0.8788156509399414,1.49,0.0006666666666666666
0.8956019878387451,1.49,0.0
0.9115571975708008,1.49,0.0
0.9272150993347168,1.49,0.0
0.9429342746734619,1.49,0.0
0.9594030380249023,1.49,0.0
0.9745216369628906,1.49,0.0
0.9915330410003662,1.49,0.0
1.007627010345459,1.49,0.0
1.0234768390655518,1.49,0.0
1.0397775173187256,1.5,0.0
1.0555708408355713,1.5,0.0
1.0702078342437744,1.5,0.0
1.08668851852417,1.5,0.0
1.1022090911865234,1.5,0.0
1.1200640201568604,1.5,0.0
