Experiment name,PEO0dot03_4
Start time (UTC),2025-08-07 13:12:06.527759+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.99
Relative humidity (%),50.94
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.011049747467041016,1.54,0.0
0.0,1.54,0.0
0.016638517379760742,1.54,0.0
0.032271385192871094,1.53,0.03266666666666666
0.048892974853515625,1.53,0.15166666666666667
0.06543517112731934,1.53,1.0253333333333332
0.0816032886505127,1.52,2.292333333333333
0.09789896011352539,1.51,3.3793333333333333
0.1137247085571289,1.5,4.2139999999999995
0.12938737869262695,1.49,4.958666666666667
0.14486980438232422,1.48,5.086333333333333
0.16271257400512695,1.48,4.6706666666666665
0.1771254539489746,1.47,4.141333333333333
0.19247078895568848,1.46,3.6203333333333334
0.20847606658935547,1.45,3.1006666666666667
0.22539710998535156,1.44,2.653
0.24062848091125488,1.44,2.3053333333333335
0.2560920715332031,1.43,1.9703333333333333
0.2732207775115967,1.43,1.6583333333333332
0.28995609283447266,1.43,1.442
0.3058595657348633,1.43,1.2383333333333333
0.321274995803833,1.42,1.0753333333333333
0.33666181564331055,1.42,0.9209999999999999
0.35210514068603516,1.42,0.7999999999999999
0.3705117702484131,1.43,0.6733333333333333
0.384108304977417,1.43,0.5953333333333333
0.4016692638397217,1.43,0.5026666666666666
0.4173874855041504,1.43,0.43866666666666665
0.4327273368835449,1.43,0.37366666666666665
0.4478011131286621,1.43,0.32866666666666666
0.4644458293914795,1.43,0.284
0.4806969165802002,1.44,0.244
0.4968860149383545,1.44,0.214
0.5132975578308105,1.44,0.18366666666666667
0.5290911197662354,1.45,0.15866666666666665
0.5448563098907471,1.45,0.13899999999999998
0.5601043701171875,1.46,0.12233333333333334
0.577789306640625,1.46,0.105
0.5920453071594238,1.46,0.095
0.6080374717712402,1.47,0.08133333333333333
0.625530481338501,1.47,0.06933333333333333
0.6404831409454346,1.47,0.061
0.6561050415039062,1.47,0.05333333333333333
0.673842191696167,1.47,0.04766666666666666
0.6893494129180908,1.48,0.04
0.7049434185028076,1.48,0.03266666666666666
0.7203564643859863,1.48,0.028999999999999998
0.7381620407104492,1.48,0.025333333333333333
0.7534630298614502,1.48,0.019333333333333334
0.7692124843597412,1.49,0.017333333333333333
0.7843568325042725,1.49,0.017333333333333333
0.8016304969787598,1.49,0.015333333333333332
0.8165497779846191,1.49,0.013
0.832993745803833,1.49,0.011333333333333332
0.8482871055603027,1.49,0.007
0.8643441200256348,1.49,0.004666666666666666
0.8808577060699463,1.49,0.0036666666666666666
0.897017240524292,1.49,0.002
0.9129822254180908,1.49,0.0
0.9282934665679932,1.49,0.0
0.9449648857116699,1.49,0.0
0.9609031677246094,1.49,0.0
0.9776551723480225,1.49,0.0
0.9925098419189453,1.49,0.0
1.0094618797302246,1.5,0.0
1.0244801044464111,1.49,0.0
1.0408029556274414,1.5,0.0
1.0564141273498535,1.5,0.0
1.0718302726745605,1.5,0.0
1.089292049407959,1.49,0.0
1.105586051940918,1.49,0.0
1.1206300258636475,1.5,0.0
