Experiment name,PEO_1percent_2
Start time (UTC),2025-08-21 14:12:01.297645+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.41
Relative humidity (%),53.95
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.013602256774902344,1.52,0.0
0.0,1.51,0.0
0.0161135196685791,1.51,0.0
0.03228259086608887,1.51,0.030666666666666665
0.04712486267089844,1.5,0.13533333333333333
0.0642709732055664,1.5,0.8636666666666666
0.08122658729553223,1.49,2.1603333333333334
0.09592199325561523,1.48,3.174
0.11219048500061035,1.47,4.139333333333333
0.1285238265991211,1.47,4.923666666666667
0.143951416015625,1.46,5.125
0.15996193885803223,1.44,4.744
0.17666172981262207,1.44,4.161333333333333
0.19276070594787598,1.43,3.5843333333333334
0.20776772499084473,1.43,3.118
0.2240619659423828,1.42,2.6683333333333334
0.24085521697998047,1.42,2.279333333333333
0.255725622177124,1.42,1.98
0.27251148223876953,1.42,1.6923333333333332
0.2872636318206787,1.42,1.474
0.3053853511810303,1.42,1.2406666666666666
0.3208622932434082,1.42,1.078
0.3357229232788086,1.42,0.9383333333333334
0.3535120487213135,1.43,0.7923333333333333
0.3679921627044678,1.43,0.6903333333333334
0.38457274436950684,1.43,0.592
0.4012115001678467,1.43,0.509
0.41693758964538574,1.44,0.4423333333333333
0.431293249130249,1.44,0.385
0.4476757049560547,1.44,0.33066666666666666
0.46309733390808105,1.44,0.29166666666666663
0.479001522064209,1.45,0.24966666666666665
0.49605655670166016,1.45,0.21333333333333332
0.5122921466827393,1.45,0.18533333333333332
0.529238224029541,1.45,0.15933333333333333
0.543513298034668,1.45,0.13966666666666666
0.5597054958343506,1.46,0.12133333333333333
0.575087308883667,1.46,0.10733333333333334
0.5926299095153809,1.46,0.09333333333333332
0.6085798740386963,1.47,0.08133333333333333
0.6249344348907471,1.46,0.07066666666666667
0.6397695541381836,1.47,0.06133333333333333
0.6558246612548828,1.47,0.05266666666666667
0.6737966537475586,1.47,0.04533333333333333
0.6876266002655029,1.48,0.04
0.7043013572692871,1.48,0.034666666666666665
0.7196311950683594,1.48,0.030333333333333334
0.7355923652648926,1.48,0.027666666666666666
0.7520782947540283,1.48,0.024666666666666667
0.768007755279541,1.48,0.018666666666666665
0.7854132652282715,1.49,0.013333333333333332
0.8005979061126709,1.49,0.012666666666666666
0.8157694339752197,1.49,0.012
0.832787275314331,1.49,0.011
0.8487076759338379,1.49,0.009
0.8631458282470703,1.49,0.007
0.8800263404846191,1.49,0.005
0.8962259292602539,1.49,0.0026666666666666666
0.9112422466278076,1.49,0.0006666666666666666
0.9273903369903564,1.5,0.0006666666666666666
0.9438750743865967,1.5,0.0
0.9613611698150635,1.5,0.0
0.9752938747406006,1.5,0.0
0.991680383682251,1.5,0.0
1.0073251724243164,1.5,0.0
1.0243752002716064,1.5,0.0
1.0392417907714844,1.5,0.0
1.0554955005645752,1.5,0.0
1.0717055797576904,1.5,0.0
1.0876514911651611,1.51,0.0
1.103508472442627,1.51,0.0
