Experiment name,PEO1percent_3
Start time (UTC),2025-08-21 14:25:08.475177+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.45
Relative humidity (%),52.67
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.01993107795715332,1.0,0.0
0.0005171298980712891,1.5,0.0
0.015655517578125,1.5,0.0
0.03142523765563965,1.51,0.027
0.046176910400390625,1.51,0.12966666666666665
0.06372356414794922,1.5,0.9473333333333332
0.07822251319885254,1.49,1.9923333333333333
0.09492254257202148,1.49,3.135
0.11149811744689941,1.48,4.103666666666666
0.1265554428100586,1.47,4.901666666666666
0.14317893981933594,1.46,5.133333333333333
0.15930843353271484,1.45,4.789666666666666
0.175642728805542,1.45,4.208666666666667
0.19217538833618164,1.44,3.626
0.20654821395874023,1.44,3.157
0.22263455390930176,1.43,2.7396666666666665
0.23946475982666016,1.44,2.3049999999999997
0.2542917728424072,1.43,2.002333333333333
0.27193331718444824,1.43,1.7129999999999999
0.28714823722839355,1.43,1.4886666666666666
0.30208563804626465,1.43,1.272
0.3181014060974121,1.43,1.1056666666666666
0.3345510959625244,1.43,0.9483333333333333
0.3509025573730469,1.43,0.8126666666666666
0.3666040897369385,1.42,0.6946666666666667
0.3829381465911865,1.42,0.6053333333333333
0.39939188957214355,1.42,0.5203333333333333
0.4146311283111572,1.43,0.45499999999999996
0.43081164360046387,1.43,0.391
0.44676804542541504,1.44,0.33699999999999997
0.4635324478149414,1.44,0.292
0.47873663902282715,1.44,0.257
0.4951202869415283,1.45,0.22333333333333333
0.5112440586090088,1.45,0.192
0.5265614986419678,1.45,0.16933333333333334
0.5446512699127197,1.45,0.14266666666666666
0.5587954521179199,1.45,0.12666666666666665
0.5746469497680664,1.45,0.111
0.5902409553527832,1.46,0.096
0.6067149639129639,1.46,0.08666666666666667
0.6234321594238281,1.46,0.07666666666666666
0.6400787830352783,1.46,0.06333333333333332
0.6546940803527832,1.46,0.055
0.6698927879333496,1.47,0.04733333333333333
0.6865272521972656,1.47,0.041
0.7033617496490479,1.47,0.033999999999999996
0.7192480564117432,1.48,0.028999999999999998
0.7346329689025879,1.48,0.024333333333333332
0.7511923313140869,1.47,0.020999999999999998
0.7679922580718994,1.48,0.020666666666666667
0.7825100421905518,1.48,0.018
0.7981665134429932,1.48,0.014666666666666666
0.8140304088592529,1.49,0.011
0.8310098648071289,1.48,0.008
0.8465003967285156,1.48,0.005666666666666666
0.8631207942962646,1.48,0.005333333333333333
0.8799600601196289,1.48,0.003333333333333333
0.8959784507751465,1.49,0.0016666666666666666
0.9102284908294678,1.49,0.0
0.9259448051452637,1.49,0.0
0.9426603317260742,1.49,0.0
0.9583704471588135,1.49,0.0
0.974257230758667,1.49,0.0
0.9918231964111328,1.49,0.0
1.006359577178955,1.49,0.0
1.0227000713348389,1.49,0.0
1.0393249988555908,1.49,0.0
1.0557162761688232,1.5,0.0
1.07131028175354,1.5,0.0
1.0867631435394287,1.5,0.0
1.1037259101867676,1.5,0.0
1.1192131042480469,1.5,0.0
1.134667158126831,1.5,0.0
