Experiment name,PEO0dot25_1bar_7
Start time (UTC),2025-08-29 14:35:57.241369+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.57
Relative humidity (%),53.93
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.0051767826080322266,1.01,0.0
0.0,1.0,0.0
0.01598048210144043,1.0,0.0
0.03229379653930664,1.0,0.020999999999999998
0.047876596450805664,1.0,0.10166666666666667
0.06366515159606934,0.99,0.5043333333333333
0.07931709289550781,0.99,1.4153333333333333
0.09686160087585449,0.98,2.3736666666666664
0.11306428909301758,0.97,3.104
0.12852168083190918,0.97,3.6516666666666664
0.14480161666870117,0.97,3.8633333333333333
0.16009950637817383,0.95,3.622
0.17586064338684082,0.94,3.189
0.19232678413391113,0.94,2.7486666666666664
0.20855283737182617,0.93,2.3566666666666665
0.22401714324951172,0.93,2.0509999999999997
0.24014067649841309,0.93,1.755
0.25536441802978516,0.93,1.5226666666666666
0.2722923755645752,0.93,1.303
0.2878565788269043,0.93,1.13
0.30458498001098633,0.93,0.9526666666666667
0.3209571838378906,0.92,0.828
0.33660340309143066,0.93,0.709
0.35268449783325195,0.93,0.6176666666666667
0.36778879165649414,0.93,0.5296666666666666
0.3845503330230713,0.92,0.45399999999999996
0.40116190910339355,0.92,0.39066666666666666
0.4157564640045166,0.92,0.3436666666666667
0.4322187900543213,0.92,0.296
0.4475436210632324,0.92,0.25466666666666665
0.46445775032043457,0.93,0.22033333333333333
0.480304479598999,0.93,0.191
0.4967012405395508,0.94,0.16566666666666666
0.5123529434204102,0.93,0.14133333333333334
0.5279946327209473,0.93,0.12433333333333332
0.5438919067382812,0.94,0.108
0.5600039958953857,0.94,0.09333333333333332
0.5758113861083984,0.95,0.08233333333333333
0.5921051502227783,0.95,0.06766666666666667
0.6087796688079834,0.95,0.059
0.6243395805358887,0.96,0.05366666666666667
0.641895055770874,0.96,0.04633333333333333
0.6561489105224609,0.96,0.041666666666666664
0.6712446212768555,0.96,0.033999999999999996
0.6876895427703857,0.96,0.029666666666666664
0.7047593593597412,0.97,0.02333333333333333
0.7201480865478516,0.97,0.019
0.7353565692901611,0.97,0.014
0.7536487579345703,0.97,0.012
0.7679550647735596,0.98,0.012333333333333333
0.784456729888916,0.99,0.009333333333333332
0.8002302646636963,0.98,0.007666666666666666
0.8153316974639893,0.98,0.006333333333333333
0.8322501182556152,0.99,0.003333333333333333
0.8488256931304932,0.99,0.004666666666666666
0.8631222248077393,0.99,0.003333333333333333
0.8802392482757568,0.99,0.0016666666666666666
0.8961422443389893,0.99,0.0
0.9117634296417236,0.99,0.0
0.9278674125671387,0.99,0.0
0.9447777271270752,0.99,0.0
0.959496259689331,1.0,0.0
0.9764988422393799,0.99,0.0
0.9932146072387695,0.99,0.0
1.0076072216033936,1.0,0.0
1.024078130722046,1.0,0.0
1.0396943092346191,1.0,0.0
1.055793285369873,1.0,0.0
1.0732049942016602,1.0,0.0
1.0878095626831055,1.0,0.0
1.103834629058838,1.0,0.0
1.1205639839172363,1.0,0.0
