Experiment name,PEO0dot25_1ml_3
Start time (UTC),2025-09-01 14:32:54.892583+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.83
Relative humidity (%),64.58
SprayTec lift height (mm),346.0

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.008250236511230469,1.0,0.0
0.0,1.51,0.0
0.015070438385009766,1.51,0.0
0.03199195861816406,1.51,0.034666666666666665
0.046356916427612305,1.5,0.12733333333333333
0.06318831443786621,1.49,0.7666666666666666
0.07893705368041992,1.49,2.068
0.0946660041809082,1.47,3.0886666666666667
0.11085844039916992,1.47,4.057333333333333
0.12700200080871582,1.46,4.857333333333333
0.14378690719604492,1.46,5.108
0.1581728458404541,1.44,4.774333333333333
0.17531585693359375,1.44,4.198333333333333
0.19090032577514648,1.43,3.6189999999999998
0.20731377601623535,1.43,3.1493333333333333
0.22336244583129883,1.43,2.6919999999999997
0.24036931991577148,1.43,2.3036666666666665
0.25512242317199707,1.42,1.9989999999999999
0.27112460136413574,1.43,1.706
0.2879149913787842,1.43,1.4576666666666667
0.3043389320373535,1.43,1.2483333333333333
0.3204340934753418,1.43,1.0706666666666667
0.33556580543518066,1.43,0.9303333333333333
0.3520634174346924,1.43,0.7956666666666666
0.3688547611236572,1.43,0.6809999999999999
0.3835606575012207,1.43,0.593
0.3993699550628662,1.43,0.517
0.4156169891357422,1.42,0.442
0.43009448051452637,1.43,0.384
0.4471566677093506,1.43,0.331
0.4625434875488281,1.43,0.2886666666666667
0.4783446788787842,1.43,0.247
0.49404382705688477,1.44,0.21266666666666667
0.5112483501434326,1.44,0.184
0.527299165725708,1.45,0.15733333333333333
0.5435876846313477,1.46,0.13533333333333333
0.5581724643707275,1.45,0.118
0.5751104354858398,1.46,0.10333333333333333
0.5902769565582275,1.46,0.08933333333333333
0.6069631576538086,1.47,0.07633333333333334
0.6232821941375732,1.47,0.06433333333333333
0.6391575336456299,1.47,0.05433333333333333
0.6566164493560791,1.47,0.04833333333333333
0.6700620651245117,1.47,0.044
0.6878058910369873,1.48,0.03733333333333333
0.7030115127563477,1.48,0.032
0.7188577651977539,1.48,0.026333333333333334
0.7352657318115234,1.48,0.022666666666666665
0.7511286735534668,1.48,0.02033333333333333
0.7679896354675293,1.48,0.018666666666666665
0.7831990718841553,1.48,0.014666666666666666
0.7982578277587891,1.48,0.011
0.8145556449890137,1.48,0.009666666666666667
0.8302242755889893,1.48,0.008333333333333333
0.846585750579834,1.48,0.006333333333333333
0.8637831211090088,1.49,0.005
0.8804013729095459,1.49,0.002333333333333333
0.8964695930480957,1.49,0.0
0.9100172519683838,1.5,0.0
0.9267797470092773,1.5,0.0
0.9430103302001953,1.5,0.0
0.9585001468658447,1.5,0.0
0.9747276306152344,1.49,0.0
0.9913604259490967,1.49,0.0
1.0072462558746338,1.49,0.0
1.0234348773956299,1.49,0.0
1.0385310649871826,1.49,0.0
1.0547232627868652,1.49,0.0
1.0706357955932617,1.49,0.0
1.0875003337860107,1.5,0.0
1.102583408355713,1.49,0.0
1.118821620941162,1.49,0.0
