Experiment name,PEO600k_0dot2_3
Start time (UTC),2025-09-08 14:33:15.824149+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.66
Relative humidity (%),75.02
SprayTec lift height (mm),346.1

Elapsed time (s),Pressure (bar),Flow rate (L/s)
0.0,1.5,0.0
0.007973909378051758,1.5,0.0
0.023830890655517578,1.5,0.0026666666666666666
0.03989720344543457,1.5,0.07866666666666666
0.05591154098510742,1.49,0.3113333333333333
0.07178831100463867,1.49,1.5703333333333334
0.08859133720397949,1.48,2.762
0.10354042053222656,1.48,3.680333333333333
0.11937308311462402,1.46,4.468
0.13602495193481445,1.46,5.066666666666666
0.15295004844665527,1.45,4.892333333333333
0.16871404647827148,1.44,4.407333333333333
0.18427467346191406,1.43,3.8753333333333333
0.2014927864074707,1.43,3.2729999999999997
0.21675753593444824,1.42,2.844
0.23214483261108398,1.42,2.4683333333333333
0.24803519248962402,1.42,2.109
0.2641105651855469,1.41,1.7996666666666665
0.2801969051361084,1.41,1.562
0.2959439754486084,1.41,1.3326666666666667
0.3128061294555664,1.41,1.1396666666666666
0.327303409576416,1.42,0.9906666666666666
0.34405040740966797,1.42,0.8463333333333333
0.3607804775238037,1.42,0.7236666666666667
0.37635064125061035,1.42,0.6286666666666666
0.391953706741333,1.42,0.536
0.4086887836456299,1.42,0.4593333333333333
0.42504286766052246,1.42,0.39266666666666666
0.44057583808898926,1.42,0.3406666666666667
0.4552483558654785,1.42,0.29766666666666663
0.47281384468078613,1.42,0.249
0.48805785179138184,1.43,0.216
0.5057697296142578,1.43,0.18433333333333332
0.5193047523498535,1.43,0.16366666666666665
0.5356442928314209,1.43,0.13666666666666666
0.552548885345459,1.43,0.118
0.5692667961120605,1.44,0.10266666666666667
0.5848386287689209,1.44,0.08966666666666666
0.6008288860321045,1.45,0.07566666666666666
0.6162023544311523,1.45,0.06833333333333333
0.6322112083435059,1.45,0.05733333333333333
0.6486907005310059,1.46,0.048666666666666664
0.663933515548706,1.45,0.042666666666666665
0.6803605556488037,1.46,0.034999999999999996
0.6959385871887207,1.46,0.028333333333333332
0.7122054100036621,1.46,0.022
0.7281982898712158,1.46,0.019333333333333334
0.7450952529907227,1.46,0.015666666666666666
0.7597687244415283,1.46,0.011333333333333332
0.7774810791015625,1.46,0.01
0.7927496433258057,1.47,0.006333333333333333
0.8074328899383545,1.47,0.005
0.8247921466827393,1.46,0.005333333333333333
0.8401060104370117,1.46,0.003
0.8563976287841797,1.46,0.0
0.8726596832275391,1.47,0.0
0.8888003826141357,1.47,0.0
0.9043452739715576,1.47,0.0
0.9209702014923096,1.47,0.0
0.9354050159454346,1.47,0.0
0.9520628452301025,1.47,0.0
0.9687886238098145,1.48,0.0
0.9835476875305176,1.48,0.0
0.9993305206298828,1.48,0.0
1.0170433521270752,1.48,0.0
1.033329725265503,1.48,0.0
1.049407720565796,1.48,0.0
1.0641183853149414,1.49,0.0
1.0799002647399902,1.49,0.0
1.0954113006591797,1.49,0.0
1.1122825145721436,1.49,0.0
