Experiment name,lower_PEO_0dot25_1ml_10
Start time (UTC),2025-09-09 12:18:20.769468+00:00
Opening duration (ms),80
Time before opening (ms),0
Time after closing (ms),1000
Ambient temperature (°C),21.55
Relative humidity (%),64.50
SprayTec lift height (mm),326.5

Elapsed time (s),Pressure (bar),Flow rate (L/s)
-0.015589714050292969,1.0,0.0
0.0,1.5,0.0
0.017055988311767578,1.5,0.0
0.033037424087524414,1.5,0.041
0.047995805740356445,1.5,0.15033333333333332
0.06453752517700195,1.49,0.858
0.08049201965332031,1.48,2.1466666666666665
0.09602856636047363,1.47,3.1556666666666664
0.11360859870910645,1.46,4.202333333333333
0.13020110130310059,1.46,4.953666666666667
0.1459031105041504,1.45,5.087
0.1610722541809082,1.44,4.6739999999999995
0.17725062370300293,1.43,4.148
0.19288039207458496,1.43,3.5733333333333333
0.20865130424499512,1.42,3.108
0.22441673278808594,1.42,2.6566666666666667
0.24149870872497559,1.42,2.27
0.2579834461212158,1.42,1.9409999999999998
0.27338314056396484,1.41,1.6583333333333332
0.289534330368042,1.42,1.441
0.30600738525390625,1.41,1.2306666666666666
0.3207416534423828,1.41,1.0693333333333332
0.33599853515625,1.41,0.9149999999999999
0.3525533676147461,1.42,0.7949999999999999
0.36820030212402344,1.42,0.6836666666666666
0.38440966606140137,1.42,0.585
0.400331974029541,1.42,0.5093333333333333
0.41733574867248535,1.42,0.42966666666666664
0.43283605575561523,1.42,0.3723333333333333
0.4496278762817383,1.42,0.3213333333333333
0.465162992477417,1.43,0.27899999999999997
0.4813880920410156,1.43,0.24033333333333332
0.49721217155456543,1.44,0.20533333333333334
0.5129029750823975,1.43,0.17966666666666667
0.529665470123291,1.43,0.155
0.5454092025756836,1.44,0.13366666666666666
0.5619385242462158,1.44,0.11733333333333333
0.5771510601043701,1.45,0.103
0.5930497646331787,1.45,0.08833333333333333
0.6081943511962891,1.45,0.078
0.6239871978759766,1.45,0.06833333333333333
0.6417129039764404,1.46,0.058666666666666666
0.6564533710479736,1.46,0.050333333333333334
0.672727108001709,1.46,0.041666666666666664
0.6888248920440674,1.47,0.034666666666666665
0.7045192718505859,1.46,0.028666666666666667
0.7203705310821533,1.46,0.024999999999999998
0.7365732192993164,1.46,0.020999999999999998
0.7529261112213135,1.46,0.018666666666666665
0.7691714763641357,1.47,0.015666666666666666
0.7845938205718994,1.47,0.015
0.8008551597595215,1.47,0.015
0.8170642852783203,1.47,0.012333333333333333
0.8328995704650879,1.47,0.008
0.8486106395721436,1.47,0.007
0.8640718460083008,1.48,0.006666666666666666
0.8803675174713135,1.48,0.004666666666666666
0.8967926502227783,1.48,0.002
0.9126191139221191,1.48,0.001
0.9282217025756836,1.49,0.0003333333333333333
0.9446389675140381,1.49,0.0
0.9606163501739502,1.48,0.0
0.9766209125518799,1.48,0.0
0.9929046630859375,1.48,0.0
1.009068489074707,1.48,0.0
1.0246407985687256,1.49,0.0
1.0412466526031494,1.49,0.0
1.057102918624878,1.49,0.0
1.072204828262329,1.49,0.0
1.089594841003418,1.49,0.0
1.1040990352630615,1.49,0.0
